tags: darakwon 3-과

[sound:대화.mp3]	대화	dialogue<p class="small">conversation, discussion</p>
[sound:예.mp3]	예 <span class="small light">/ 보기</span>	exemple
[sound:발음.mp3]	발음 <span class="발음">[바름]</span>	prononciation
[sound:어휘.mp3]	어휘	vocabulaire
[sound:문법.mp3]	문법 <span class="발음">[문뻡]</span>	grammaire<ul><li>litt. “loi de l'écriture”&nbsp;: 문 (écriture) + ㅅ (<span class="em">사잇소리</span>) + 법 (loi)</li></ul>
[sound:사잇소리.mp3]	사잇소리 <span class="small light">= 사이시옷</span><p class="발음">[사이쏘리]</p>	&#x2011;ㅅ&#x2011;<ul><li>morphème, autrefois <span class="em">marqueur génitif</span>, toujours utilisé pour former de nombreux <span class="em">mots composés</span></li><br><li>시옷 [ㅅ] en position finale (종성) se prononce normalement 디귿 [ㄷ] mais il est maintenant, dans ce cas, généralement muet&nbsp;; il se caractérise par une <span class="em">tension de la consonne initiale (초성)</span> suivante</li><br><li>Exemples&nbsp;:<ul style="font-size: 100%; list-style-type: circle"><li>사잇소리 <span class="light">[사이쏘리]</span> = 사이 <span class="small light">(intervalle)</span> <span class="em">&#x2011;ㅅ&#x2011;</span> 소리 <span class="small light">(son)</span><p style="font-style: italic; margin-top: 0.5em">son intercalaire, litt. “son de l'intervalle”</p></li><li>찻집 <span class="light">[찯찝]</span> = 차 <span class="small light">(thé)</span> <span class="em">&#x2011;ㅅ&#x2011;</span> 집 <span class="small light">(maison)</span><p style="font-style: italic; margin-top: 0.5em">maison de thé</p></li><li>칫솔 <span class="light">[치쏠]</span> = 치 <span class="small light">(dents)</span> <span class="em">&#x2011;ㅅ&#x2011;</span> 솔 <span class="small light">(brosse)</span><p style="font-style: italic; margin-top: 0.5em">brosse à dents</p></li><li>바닷물 <span class="light">[바단물]</span> = 바다 <span class="small light">(mer)</span> <span class="em">&#x2011;ㅅ&#x2011;</span> 물 <span class="small light">(eau)</span><p style="font-style: italic; margin-top: 0.5em">litt. “eau de mer”</p></li><li>콧물 <span class="light">[콘물]</span> = 코 <span class="small light">(nez)</span> <span class="em">&#x2011;ㅅ&#x2011;</span> 물 <span class="small light">(eau)</span><p style="font-style: italic; margin-top: 0.5em">morve, litt. “eau de nez”</p></li><li>존댓말 <span class="light">[존댄말]</span> = 존대 <span class="small light">(respect)</span> <span class="em">&#x2011;ㅅ&#x2011;</span> 말 <span class="small light">(langage)</span><p style="font-style: italic; margin-top: 0.5em">registre soutenu, litt. “langage de respect”</p></li><li>젓가락 <span class="light">[저까락]</span> = 저 <span class="small light">(baguettes)</span> <span class="em">&#x2011;ㅅ&#x2011;</span> 가락 <span class="small light">(bâton)</span><p style="font-style: italic; margin-top: 0.5em">baguettes (angl. “chopsticks”)</p></li><li>손가락 <span class="light">[손까락]</span> = 손 <span class="small light">(main)</span> <span class="em">&#x2011;ㅅ&#x2011;</span> 가락 <span class="small light">(brin)</span><p style="font-style: italic; margin-top: 0.5em">doigt</p></li><li>발가락 <span class="light">[발까락]</span> = 발 <span class="small light">(pied)</span> <span class="em">&#x2011;ㅅ&#x2011;</span> 가락 <span class="small light">(brin)</span><p style="font-style: italic; margin-top: 0.5em">orteil</p></li><li>고춧가루 <span class="light">[고추까루]</span> = 고추 <span class="small light">(piment)</span> <span class="em">&#x2011;ㅅ&#x2011;</span> 가루 <span class="small light">(poudre)</span><p style="font-style: italic; margin-top: 0.5em">litt. “poudre de piment”</p></li><li>문법 <span class="light">[문뻡]</span> = 문 <span class="small light">(écriture)</span> <span class="em">&#x2011;ㅅ&#x2011;</span> 법 <span class="small light">(loi)</span><p style="font-style: italic; margin-top: 0.5em">grammaire, litt. “loi de l'écriture”</p></li></ul></li></ul>
[sound:표현.mp3]	표현	expression

[sound:선생님.mp3]	선생<span class="light">(님)</span><hr/>쌤<p class="fr small">(abréviation, informel)</p>	professeur<ul><li><span class="em">titre</span> généralement utilisé pour désigner le maître d'école, le professeur de collège ou de lycée, mais pas le professeur d'université (appelé 교수님)</li><br><li><span class="em">terme honorifique</span> également utilisé après un nom pour s'adresser à une personne âgée ou à une personne qu'on ne connaît pas, correspondant au Mme, Mlle, M. du français</li></ul>
[sound:전공.mp3]	전공	spécialité, matière principale<p class="small">(angl. “major”)</p><ul><li>표현 (expression)<br><br>&mdash;&nbsp;전공은 한국어예요.<br>&mdash;&nbsp;<span style="font-style: italic">Sa matière principale est le coréen.</span><br><br>&mdash;&nbsp;전공은 한국 역사예요.<br>&mdash;&nbsp;<span style="font-style: italic">Sa matière principale est l'histoire coréenne.</span></li></ul>
[sound:대학생.mp3]	대학생 <span class="발음">[대학쌩]</span> <span class="small light">/ 대학교</span>	étudiant <span class="small light">/ université</span>
