tags: darakwon 4-과

[sound:네.mp3]	네 <span class="small">(&ne;&nbsp;아니요)</span>	oui <span class="small">(&ne;&nbsp;non)</span>
[sound:아니요.mp3]	아니요 <span class="small">(&ne;&nbsp;네)</span>	non <span class="small">(&ne;&nbsp;oui)</span>
[sound:누구.mp3]	누구	qui&nbsp;?<p class="small">(pronom interrogatif)</p>
[sound:씨.mp3]	<span class="fr">(nom)prénom</span> 씨	monsieur, madame, mademoiselle<p class="small">(terme honorifique)</p>
[sound:친구.mp3]	친구	ami
[sound:이_학년.mp3]	이 학년 <span class="발음">[이 항년]</span>	deuxième année<p class="small">(scolaire)</p>
[sound:도.mp3]	-도<p class="small">(씨도, 저도, &hellip;)</p>	aussi, non plus

[sound:가방.mp3]	가방	sac
[sound:사진.mp3]	사진	photo
[sound:성악가.mp3]	성악가 <span class="발음">[성악<span style="font-weight: bold">까</span>]</span><p class="small light">/ 가수</p>	chanteur lyrique<p class="small light">/ chanteur</p>
[sound:소설가.mp3]	소설가<p class="small light">/ 소설책 / 작가 / 시인</p>	romancier<p class="small light">/ roman / écrivain / poète</p>
[sound:책.mp3]	책<p class="small light">/ 소설책 / 도서관 / 서점</p>	livre<p class="small light">/ roman / bibliothèque / librairie</p>
[sound:영화.mp3]	영화 <span class="small light">/ 극장 / 영화감독</span>	film, cinéma<p class="small light">/ (salle de) cinéma / réalisateur</p>
[sound:영화감독.mp3]	영화감독 <span class="small light">/ 영화</span>	réalisateur <span class="small light">/ film, cinéma</span>
[sound:의사.mp3]	의사	médecin, docteur
[sound:의자.mp3]	의자 <span class="small light">/ 책상</span>	chaise <span class="small light">/ table, bureau</span>
[sound:책상.mp3]	책상 <span class="발음">[책쌍]</span><p class="small light">/ 의자</p>	table, bureau<p class="small light">/ chaise</p>
[sound:휴대전화.mp3]	휴대전화<hr/>핸드폰	téléphone portable<p class="small">(콩글리시, konglish&nbsp;: hand phone)</p>

[sound:미국.mp3]	미국<p class="small light">/ 워싱턴 / 뉴욕 / 로스 앤젤레스</p>	États-Unis, USA<p class="small light">/ Washington / New York / Los Angeles</p><p class="small">(국가: pays)</p>
[sound:중국.mp3]	중국 <span class="small light">/ 베이징</span>	Chine <span class="small light">/ Pékin</span><p class="small">(litt. “pays du milieu (중)”&nbsp;; 국가: pays)</p>
[sound:일본.mp3]	일본 <span class="small light">/ 도쿄</span>	Japon <span class="small light">/ Tokyo</span><p class="small">(국가: pays)</p>
[sound:영국.mp3]	영국 <span class="small light">/ 런던</span>	Royaume-Uni <span class="small light">/ Londres</span><p class="small">(국가: pays)</p>
[sound:스페인.mp3]	스페인 <span class="small light">/ 마드리드</span>	Espagne <span class="small light">/ Madrid</span><p class="small">(국가: pays)</p>
[sound:이탈리아.mp3]	이탈리아 <span class="small light">/ 로마</span>	Italie <span class="small light">/ Rome</span><p class="small">(국가: pays)</p>
[sound:독일.mp3]	독일 <span class="small light">/ 베를린</span>	Allemagne <span class="small light">/ Berlin</span><p class="small">(국가: pays)</p>
[sound:러시아.mp3]	러시아 <span class="small light">/ 모스크바</span>	Russie<p class="small light">/ Moscou (rus. “Москва”, Moskva)</p><p class="small">(국가: pays)</p>
[sound:태국.mp3]	태국 <span class="small light">/ 방콕</span>	Thaïlande <span class="small light">/ Bangkok</span><p class="small">(국가: pays)</p>
[sound:인도.mp3]	인도<p class="small light">/ 뉴델리 / 봄베이 / 캘커타</p>	Inde<p class="small light">/ New Delhi / Bombay / Calcutta</p><p class="small">(국가: pays)</p>
[sound:멕시코.mp3]	멕시코	Mexique<p class="small">(국가: pays)</p>
[sound:호주.mp3]	호주 <span class="small light">/ 캔버라 / 시드니</span>	Australie <span class="small light">/ Canberra / Sydney</span><p class="small">(국가: pays)</p>

[sound:프랑스어_불어.mp3]	프랑스어<hr/>불어 <span class="발음">[부러]</span>	français<p class="small">(langue)</p>
[sound:아랍어.mp3]	아랍어 <span class="발음">[아라버]</span>	arabe<p class="small">(langue)</p>
[sound:중국어.mp3]	중국어 <span class="발음">[중구거]</span>	chinois<p class="small">(langue)</p>
[sound:일본어_일어.mp3]	일본어 <span class="발음">[일보너]</span><hr/>일어 <span class="발음">[이러]</span>	japonais<p class="small">(langue)</p>
[sound:영어.mp3]	영어	anglais<p class="small">(langue)</p>
[sound:독일어_독어.mp3]	독일어 <span class="발음">[도기러]</span><hr/>독어 <span class="발음">[도거]</span>	allemand<p class="small">(langue)</p>
[sound:스페인어.mp3]	스페인어 <span class="발음">[스페이너]</span>	espagnol<p class="small">(langue)</p>
[sound:이탈리아어.mp3]	이탈리아어	italien<p class="small">(langue)</p>

[sound:이분이_누구예요.mp3]	<ul>이분이 누구예요?</ul>	<ul>Qui est-ce&nbsp;? <span class="light" style="font-style: italic">(litt. “Quelle est cette personne-ci&nbsp;?”)</span></ul>
