tags: darakwon 5-과

[sound:기숙사.mp3]	기숙사 <span class="발음">[기숙싸]</span>	dortoir, résidence universitaire
[sound:방.mp3]	방	chambre, pièce
[sound:수업.mp3]	수업	cours, leçon
[sound:시간.mp3]	시간<p class="small">한 시간 / 두 시간 / 세 시간 / &hellip;</p>	temps<hr/>heures (durée)<p class="small">(수분류사: classificateur + cardinal <span class="em">coréen</span>)</p><ul><li>한 시간 (1 heure)</li><li>세 시간 (3 heures)</li></ul>
[sound:식당.mp3]	식당 <span class="발음">[식땅]</span> <span class="small light">/ 식사</span>	restaurant <span class="small light">/ repas</span>
[sound:학교_식당.mp3]	학교 식당 <span class="발음">[학꾜 식땅]</span>	restaurant scolaire, cantine
[sound:아주.mp3]	아주	très
[sound:외국_학생.mp3]	외국 학생 <span class="발음">[웨구 칵쌩]</span>	étudiant étranger
[sound:음식.mp3]	음식	nourriture, plat
[sound:잡지.mp3]	잡지 <span class="발음">[잡찌]</span><p class="small light">/ 신문</p>	revue, magazine<p class="small light">/ journal</p>
[sound:학교.mp3]	학교 <span class="발음">[학꾜]</span> <span class="small light">/ 학생 / 교실</span><p class="small light">유치원 &lt; 초등학교 &lt; 중학교 &lt; 고등학교 &lt; 대학교</p>	école <span class="small light">/ élève / salle de classe</span><p class="small">(한국의 학제: système scolaire coréen)</p>
[sound:학생.mp3]	학생 <span class="발음">[학쌩]</span> <span class="small light">/ 학교</span><hr/>남학생 / 여학생	élève, écolier <span class="small light">/ école</span><hr/>écolier / écolière
[sound:교환학생.mp3]	교환학생	étudiant d'échange
[sound:미술.mp3]	미술 <span class="small light">/ 예술 / 기술</span>	beaux-arts <span class="small light">/ art(s) / technique</span>
[sound:백_100.mp3]	백 <span class="small">(100)</span>	cent<p class="small">(수사: numéral <span class="em">sino-coréen</span>)</p>

[sound:외국어.mp3]	외국어 <span class="발음">[웨구거]</span>	langue étrangère<ul><li>한국어 (coréen)</li><li>프랑스어 / 불어 (français)</li><li>영어 (anglais)</li><li>독일어 / 독어 (allemand)</li><li>이탈리아어 (italien)</li><li>스페인어 (espagnol)</li><li>러시아어 (russe)</li><li>일본어 / 일어 (japonais)</li><li>중국어 (chinois)</li><li>아랍어 (arabe)</li></ul>
[sound:외국인.mp3]	외국인 <span class="발음">[웨구긴]</span>	étranger<p class="small">(personne)</p>
[sound:교환.mp3]	교환	échange, troc

[sound:오늘.mp3]	오늘<p class="small light">그제 / 그저께 &lt; 어제 &lt; <span style="font-weight: bold">오늘</span> &lt; 내일 &lt; 모레</p>	aujourd'hui
[sound:내일.mp3]	내일<p class="small light">그제 / 그저께 &lt; 어제 &lt; 오늘 &lt; <span style="font-weight: bold">내일</span> &lt; 모레</p>	demain

[sound:받침-4.mp3]	받침<p class="fr small">(aspiration)</p>	<ul>En contact avec la consonne <span class="em">ㅎ</span> (qu'elles soient placées devant ou après celle-ci), les consonnes ㄱ / ㄷ / ㅂ / ㅈ deviennent aspirées ㅋ / ㅌ / ㅍ / ㅊ.<br><br><table style="font-size: 100%"><tr><td width="25%">[ㄱ] &rarr; [ㅋ]</td><td class="light">외국 학생 [외구 <span style="font-weight: bold">칵</span>쌩]</td></tr><tr><td>[ㄷ] &rarr; [ㅌ]</td><td class="light">좋다 [조<span style="font-weight: bold">타</span>] / 많다 [만<span style="font-weight: bold">타</span>] / 괜찮다 [괜찬<span style="font-weight: bold">타</span>]</td></tr><tr><td>[ㅂ] &rarr; [ㅍ]</td><td class="light">영어 수업하고 [영어 수어<span style="font-weight: bold">파</span>고]</td></tr><tr><td>[ㅈ] &rarr; [ㅊ]</td><td class="light"></td></tr></table></ul>


