tags: darakwon 6-과

[sound:생활.mp3]	생활	mode / style de vie
[sound:한국_생활.mp3]	한국 생활	la vie en Corée
[sound:서예.mp3]	서예	calligraphie
[sound:손님.mp3]	손님 <span class="small light">/ 고객님</span>	client, hôte, invité
[sound:고객님.mp3]	고객님 <span class="발음">[고갱님]</span><p class="small light">/ 손님</p>	client
[sound:운전.mp3]	운전	conduite (d'un véhicule)
[sound:학원.mp3]	학원 <span class="발음">[하권]</span> <span class="small light">/ 학교</span>	institut (privé), académie <span class="small light">/ école</span><ul><li>établissements scolaires privés, <span class="em">très coûteux</span>, où des tuteurs préparent les élèves &mdash;&nbsp;principalement en mathématiques, en anglais et en sciences&nbsp;&mdash; en vue du <span class="em">수능</span> (l'examen d'entrée à l'université). Son obtention avec les meilleures notes permet en effet d'être admis dans les trois meilleurs universités du pays (<span class="em">SKY</span>)&nbsp;: l'université nationale de Séoul (<span class="em">서울대학교</span>, angl. “Seoul National University” ou SNU), l'université de Corée (<span class="em">고려대학교</span>, angl. “Korea University”) et l'université Yonsei (<span class="em">연세</span>), ce qui leur ouvrira toutes les portes dans leur vie professionnelle.</li><br><li>Les enfants de tous âges fréquentent un hagwon, même ceux de maternelle. Il n'est pas rare que les écoliers soient inscrits à plusieurs hagwons en même temps qui leur enseignent des matières différentes, <span class="em">en plus de leur fréquentation scolaire normale</span>, et ils y restent souvent jusqu'à 22 heures (parfois même plus tard).</li><br><li>En plus de leur fonction de “boîtes à bac”, les hagwons fournissent aussi des cours de soutien dont beaucoup d'élèves ont besoin pour suivre le programme scolaire régulier, ainsi que des formations dans des domaines non abordés dans les écoles (les plus jeunes en particulier y apprennent par ex. le piano, l'art, la natation ou le taekwondo). Il existe également des hagwons pour adultes où l'on enseigne par ex. l'anglais, l'arrangement floral ou le permis de conduire.</li><br><li>Alors que certains considèrent que les hagwons répondent à un besoin de complémentarité du système scolaire public, d'autres les voient comme un facteur d'inégalité entre pauvres et riches, et comme l'une des raisons importantes du taux élevé de suicide chez les Sud-Coréens de 15 à 24 ans, le plus haut parmi les pays de l'OCDE.</li></ul>
[sound:운전_학원.mp3]	운전 학원	auto école
[sound:종업원.mp3]	종업원 <span class="발음">[종어붠]</span><p class="small light">/ 점원</p>	serveur <span class="small light">/ vendeur</span>
[sound:편의점.mp3]	편의점 <span class="발음">[펴늬점]</span><p class="small light">/ 백화점</p>	épicerie (de quartier), supérette ouverte 24h/24<p class="small light">/ grand magasin</p>
[sound:거리.mp3]	거리	rue
[sound:전시.mp3]	전시	exposition

[sound:지금.mp3]	지금	maintenant, actuellement
[sound:자주.mp3]	자주<p class="small">(&ne;&nbsp;가끔)</p>	souvent<p class="small">(&ne;&nbsp;parfois, occasionnellement)</p>
[sound:요즘.mp3]	요즘	ces derniers temps, ces jours-ci, dernièrement, récemment
[sound:매일.mp3]	매일	tous les jours, quotidiennement

[sound:찻집.mp3]	찻집 <span class="발음">[찯찝]</span>	salon de thé<ul><li>litt. “maison de thé”&nbsp;: 차 (thé) + ㅅ (<span class="em">사잇소리</span>) + 집 (maison)</li></ul>
[sound:차.mp3]	차<p class="small light">/ 홍차 / 녹차 / 유자차 / 인삼차</p>	thé<p class="small light">/ thé noir / thé vert / thé au citron / thé au ginseng</p><p class="small">(음료수: boisson)</p>
[sound:녹차.mp3]	녹차<p class="small light">/ 홍차 / 유자차 / 인삼차</p>	thé vert<p class="small light">/ thé noir / thé au citron / thé au ginseng</p><p class="small">(음료수: boisson)</p>
[sound:유자차.mp3]	유자차<p class="small light">/ 홍차 / 녹차 / 인삼차</p>	thé au citron<p class="small light">/ thé noir / thé vert / thé au ginseng</p><ul><li>infusion de yuzu, citron d'extrême-orient</li></ul>
[sound:인삼.mp3]	인삼	ginseng
[sound:인삼차.mp3]	인삼차<p class="small light">/ 홍차 / 녹차 / 유자차</p>	thé au ginseng<p class="small light">/ thé noir / thé vert / thé au citron</p><p class="small">(음료수: boisson)</p>
[sound:물.mp3]	물	eau<p class="small">(음료수: boisson)</p><ul><li>Trigramme (괘)&nbsp;: <span class="em">☵</span>&nbsp;; en haut sur le flottant du drapeau coréen (<span class="em">태극기</span>)</li></ul>
[sound:오렌지.mp3]	오렌지	orange<p class="small">(과일: fruit)</p>
[sound:주스.mp3]	주스	jus<p class="small">(음료수: boisson ; angl. “juice”)</p>
[sound:오렌지_주스.mp3]	오렌지 주스	jus d'orange<p class="small">(음료수: boisson)</p>
[sound:카푸치노.mp3]	카푸치노	cappuccino<p class="small">(음료수: boisson)</p>

[sound:그런데.mp3]	그런데<div class="활용"><div class="bloc"><div class="부정사">그렇다</div><div class="불규칙">(“ㅎ” 불규칙 형용사)</div></div><div class="bloc"><div class="는데"><div class="높임">그러신데</div><div style="font-size: 150%">그런데</div></div></div></div><hr/><div class="활용"><div class="는데"><div class="높임">-(으)시는데</div><div style="font-size: 150%">A-은데 / V-는데</div></div></div><p class="small">(연결 어미)</p>	cependant, pourtant, toutefois<p class="small">(&#10102; adverbe conjonctif&nbsp;; &#10103; suffixe jonctif verbal)</p><ul><li>connecteur logique exprimant une relation de <span class="em">concession, de nuance</span></li><br><li>contrairement à <span style="font-style:oblique">cependant</span> ou <span style="font-style:oblique">pourtant</span> qui ont un sens concessif, <span style="font-style:oblique">toutefois</span> signifie plutôt la restriction<ul style="font-size: 100%; list-style-type: circle"><li><span style="font-style:oblique">pourtant</span> signifie que la proposition qui le comporte constitue une objection de nature à mettre en doute la vérité de ce qui précède</li><li><span style="font-style:oblique">toutefois</span> introduit un rectificatif destiné à empêcher qu'on ne généralise trop la portée de l'assertion précédente ou à la limiter en énonçant un fait qui en est exclu : <span style="font-style:oblique">toutefois</span> pose deux faits qui s'opposent sans que le deuxième ait le pouvoir de détruire la valeur du premier</li></ul></li><br><li>l'adverbe conjonctif est utilisé pour introduire un nouveau sujet de conversation&nbsp;; en fonction du contexte, il se traduit par “au fait”, “à propos”, “dis donc”, &hellip;</li></ul>

[sound:을_를.mp3]	-을/-를	particule (조사) du complément d'objet direct<p class="small" style="font-weight: bold">&mdash;&nbsp;accusatif&nbsp;&mdash;</p><ul><li>on utilise <span class="em">-을 après une consonne</span> et <span class="em">-를 après une voyelle</span></li><br><li>s'emploie après les noms de lieux suivis d'un verbe de mouvement</li><br><li>contractions usuelles à l'oral&nbsp;:<br><table style="font-size: 100%"><tr><td width="20%">무 엇을</td><td>&rarr; 뭘</td></tr><tr><td>나를</td><td>&rarr; 날</td></tr><tr><td>너를</td><td>&rarr; 널</td></tr></table></li></ul>
[sound:에서_에.mp3]	-에서	particule (조사) du complément circonstanciel de lieu<p class="small" style="font-weight: bold">&mdash;&nbsp;locatif&nbsp;&mdash;</p><ul class="small">Suffixée à un nom de lieu &hellip;<br><br><li>suivie d'un <span class="em">verbe de mouvement</span><ul style="font-size: 100%; list-style-type: circle"><li>-에서 en indique la provenance, le point de départ</li></ul><br><li>suivie d'un autre <span class="em">verbe d'action</span> (동사)<ul style="font-size: 100%; list-style-type: circle"><li>-에서 indique l'endroit ou le cadre dans lequel cette action s'accomplit</li></ul></ul>
[sound:나_저.mp3]	<table id="underlined-header"><tr><th class="em" colspan=2/><th class="em">저</th></tr><tr><td class="fr small" style="vertical-align: middle">thème</td><td class="small" style="vertical-align: middle">-은/-는</td><td>저는 <span class="small">(전)</span></td></tr><tr><td class="fr small" style="vertical-align: middle">génitif</td><td class="small" style="vertical-align: middle">-의</td><td>제</td></tr></table>	je / me / moi<ul><li>pronom personnel (대명사)&nbsp;: 1<sup>ère</sup> personne du singulier</li></ul>



[sound:하다.mp3]	<div class="활용"><div class="bloc"><div class="부정사" style="font-size: 150%">하다</div><div class="불규칙">(동사)</div></div></div>	faire<ul><li>verbe régulier</li></ul>
[sound:해요.mp3]	해요<div class="활용"><div class="bloc"><div class="부정사">하다</div><div class="불규칙">(동사)</div></div><div class="bloc"><div class="현재">해요</div></div></div>	il fait<p class="small">(해요체, registre informel poli)</p>

[sound:가다.mp3]	<div class="활용"><div class="bloc"><div class="부정사" style="font-size: 150%">가다</div><div class="불규칙">(동사)</div></div></div>	aller<ul><li>verbe régulier</li></ul>
