tags: darakwon 7-과

[sound:가끔.mp3]	가끔<p class="small">(&ne;&nbsp;자주)</p>	de temps en temps, parfois, quelquefois, occasionnellement<p class="small">(&ne;&nbsp;souvent)</p>
[sound:공연_연주.mp3]	공연<hr/>연주	spectacle, représentation<p class="small">(angl. “performance”)</p><ul><li>연주 est réservé aux concerts instrumentaux</li><li>공연 est utilisé pour tout type de représentation&nbsp;: concert instrumental (연주), mais aussi théâtre (연극), music hall (뮤지컬), ballet (발레), opéra (오페라), &hellip;</li></ul>
[sound:연극.mp3]	연극 <span class="small light">/ 극장 / 연극 공연</span>	(pièce de) théâtre<p class="small light">/ (salle de) théâtre / représentation théâtrale</p>
[sound:연극_공연.mp3]	연극 공연	représentation théâtrale
[sound:극장.mp3]	극장	(salle de) théâtre, (salle de) cinéma
[sound:안_지_않다.mp3]	안	ne pas<p class="small">(adverbe de négation)</p>
[sound:어디.mp3]	어디	où&nbsp;?
[sound:어떻게.mp3]	어떻게 <span class="발음">[어떠<span style="font-weight: bold">케</span>]</span>	comment&nbsp;?<ul><li>forme adverbiale de <span class="em">어떻다</span> (être dans quel état&nbsp;? être comment&nbsp;?)</li><br><li>le suffixe adverbial <span class="em">-게</span> attaché à un adjectif transforme cet adjectif en adverbe&nbsp;; ex.&nbsp;: 맛있다 &rarr; 맛있게 (맛있게 드세요, bon appétit)</li></ul>
[sound:어머.mp3]	어머 / 어머나	oh là là !<p class="small">(interjection, réservée aux femmes)</p>
[sound:잘.mp3]	잘	bien
[sound:조금.mp3]	조금<p class="small">(&ne;&nbsp;많이)</p>	peu, un peu<p class="small">(&ne;&nbsp;beaucoup)</p>
[sound:포스터.mp3]	포스터	affiche, poster
[sound:함께_같이.mp3]	함께	ensemble

[sound:시내.mp3]	시내	centre-ville
[sound:우연히.mp3]	우연히	par hasard
[sound:저녁.mp3]	저녁 <span class="small light">/ 오후</span><p class="small">오후 여섯 시부터 아홉 시까지</p>	soir (18-21h) <span class="small light">/ p.m.</span><hr/>dîner
[sound:오늘_저녁.mp3]	오늘 저녁	ce soir (18-21h)

[sound:백화점.mp3]	백화점 <span class="small light">/ 편의점</span>	grand magasin<p class="small light">/ épicerie (de quartier), supérette</p>
[sound:사람_분.mp3]	사람<hr/>분<p class="fr small">(honorifique)</p>	personne<p class="small">(être humain)</p>
[sound:집_댁.mp3]	집	maison

[sound:에서_에.mp3]	-에서 &rarr; -에	particules (조사) du complément circonstanciel de lieu<p class="small" style="font-weight: bold">&mdash;&nbsp;locatif&nbsp;&mdash;</p><ul class="small">Suffixée à un nom de lieu &hellip;<br><br><li>suivie d'un <span class="em">verbe de mouvement</span><ul style="font-size: 100%; list-style-type: circle"><li>-에서 en indique la provenance, le point de départ</li><li>-에 en indique la destination, le point d'arrivée</li></ul><br><li>suivie d'un autre <span class="em">verbe d'action</span> (동사)<ul style="font-size: 100%; list-style-type: circle"><li>-에서 indique l'endroit ou le cadre dans lequel cette action s'accomplit</li></ul><br><li>suivie d'un <span class="em">verbe d'état</span> (형용사) ou d'existence (있다/없다)<ul style="font-size: 100%; list-style-type: circle"><li>-에 indique l'endroit où cet état est localisé</li></ul><br><li>Exception&nbsp;: 살다 (vivre, habiter, demeurer, résider) peut fonctionner avec les deux particules</li></ul>


[sound:굽다.mp3]	<div class="활용"><div class="bloc"><div class="부정사" style="font-size: 150%">굽다 <span class="발음">[굽<span style="font-weight: bold">따</span>]</span></div><div class="불규칙">(“ㅂ” 불규칙 동사)</div></div></div>	griller<ul><li>verbe irrégulier en “ㅂ”&nbsp;: ㅂ devient 오 devant la voyelle 아 et 우 devant toute autre voyelle</li></ul>
[sound:구워요.mp3]	구<span class="불규칙">워</span>요<p class="small">(*구<span class="불규칙">우어</span>요)</p><div class="활용"><div class="bloc"><div class="부정사">굽다</div><div class="불규칙">(“ㅂ” 불규칙 동사)</div></div><div class="bloc"><div class="현재">구워요</div></div></div>	il grille<p class="small">(해요체, registre informel poli)</p>

[sound:도움.mp3]	도움	aide<p class="small">assistance, secours</p>
[sound:돕다.mp3]	<div class="활용"><div class="bloc"><div class="부정사" style="font-size: 150%">돕다 <span class="발음">[돕<span style="font-weight: bold">따</span>]</span></div><div class="불규칙">(“ㅂ” 불규칙 동사)</div></div></div>	aider<ul><li>verbe irrégulier en “ㅂ”&nbsp;: ㅂ devient 오 devant la voyelle 아 et 우 devant toute autre voyelle</li></ul>
[sound:도와요.mp3]	도<span class="불규칙">와</span>요<p class="small">(*도<span class="불규칙">오아</span>요)</p><div class="활용"><div class="bloc"><div class="부정사">돕다</div><div class="불규칙">(“ㅂ” 불규칙 동사)</div></div><div class="bloc"><div class="현재">도와요</div></div></div>	il aide<p class="small">(해요체, registre informel poli)</p>

