tags: darakwon 8-과

[sound:언제.mp3]	언제	quand&nbsp;?
[sound:열심히.mp3]	열심히 <span class="발음">[열씸히]</span>	dur (adv), avec zèle, ardemment, sérieusement
[sound:인터넷.mp3]	인터넷	internet
[sound:카페.mp3]	카페	café<p class="small">(lieu)</p>
[sound:회사.mp3]	회사 <span class="small light">/ 회사원</span>	entreprise, compagnie, société<p class="small light">/ employé de bureau</p>

[sound:하나_1.mp3]	하나 (한)<p class="small light"><span style="font-weight: bold">하나</span> &lt; 둘 &lt; 셋 &lt; 넷 &lt; 다섯 &lt; 여섯 &lt; 일곱 &lt; 여덟 &lt; 아홉 &lt; 열</p>	un<p class="small">(수사: numéral <span class="em">coréen</span>)</p><ul><li>Lorsqu'ils sont employés <span class="em">en contact direct avec des classificateurs</span>, certains numéraux d'origine coréenne &mdash;&nbsp;tel qu'ici 하나&nbsp;&mdash; subissent de légères modifications de forme pour en faciliter la prononciation&nbsp;: 하나 &rarr; 한, 둘 &rarr; 두, 셋 &rarr; 세, 넷 &rarr; 네, 스물 &rarr; 스무.<br><br>&mdash;&nbsp;오후 <span style="font-weight: bold">한</span> 시에 시작해요.<br>&mdash;&nbsp;<span style="font-style: italic">Il commence à 13h.</span><br><br>&mdash;&nbsp;저는 스물한 살이에요.<br>&mdash;&nbsp;<span style="font-style: italic">J'ai 21 ans.</span><br><br>&mdash;&nbsp;책 한 권 / 한 잔 / 한 병<br>&mdash;&nbsp;<span style="font-style: italic">1 livre / 1 verre / 1 bouteille</span></li></ul>
[sound:둘_2.mp3]	둘 (두)<p class="small light">하나 &lt; <span style="font-weight: bold">둘</span> &lt; 셋 &lt; 넷 &lt; 다섯 &lt; 여섯 &lt; 일곱 &lt; 여덟 &lt; 아홉 &lt; 열</p>	deux<p class="small">(수사: numéral <span class="em">coréen</span>)</p><ul><li>Lorsqu'ils sont employés <span class="em">en contact direct avec des classificateurs</span>, certains numéraux d'origine coréenne &mdash;&nbsp;tel qu'ici 둘&nbsp;&mdash; subissent de légères modifications de forme pour en faciliter la prononciation&nbsp;: 하나 &rarr; 한, 둘 &rarr; 두, 셋 &rarr; 세, 넷 &rarr; 네, 스물 &rarr; 스무.<br><br>&mdash;&nbsp;저는 <span style="font-weight: bold">두</span> 시부터 수업이 있어요.<br>&mdash;&nbsp;<span style="font-style: italic">J'ai un cours à partir de 2 heures.</span><br><br>&mdash;&nbsp;약을 하루에 두 번 드세요.<br>&mdash;&nbsp;<span style="font-style: italic">Prenez le médicament deux fois par jour.</span><br><br>&mdash;&nbsp;사과 두 개 / 연필 두 자루 / 우표 두 장<br>&mdash;&nbsp;<span style="font-style: italic">2 pommes / 2 crayons / 2 timbres</span></li></ul>
[sound:셋_3.mp3]	셋 (세)<p class="small light">하나 &lt; 둘 &lt; <span style="font-weight: bold">셋</span> &lt; 넷 &lt; 다섯 &lt; 여섯 &lt; 일곱 &lt; 여덟 &lt; 아홉 &lt; 열</p>	trois<p class="small">(수사: numéral <span class="em">coréen</span>)</p><ul><li>Lorsqu'ils sont employés <span class="em">en contact direct avec des classificateurs</span>, certains numéraux d'origine coréenne &mdash;&nbsp;tel qu'ici 셋&nbsp;&mdash; subissent de légères modifications de forme pour en faciliter la prononciation&nbsp;: 하나 &rarr; 한, 둘 &rarr; 두, 셋 &rarr; 세, 넷 &rarr; 네, 스물 &rarr; 스무.<br><br>&mdash;&nbsp;오후 <span style="font-weight: bold">세</span> 시에 시작해요.<br>&mdash;&nbsp;<span style="font-style: italic">Il commence à 15h.</span><br><br>&mdash;&nbsp;저는 열세 살이에요.<br>&mdash;&nbsp;<span style="font-style: italic">J'ai 13 ans.</span><br><br>&mdash;&nbsp;지우개 세 개 / 물 세 잔 / 학생 세 명 / 선생님 세 분<br>&mdash;&nbsp;<span style="font-style: italic">3 gommes / 3 verres d'eau / 3 étudiants / 3 professeurs</span></li></ul>
[sound:넷_4.mp3]	넷 (네)<p class="small light">하나 &lt; 둘 &lt; 셋 &lt; <span style="font-weight: bold">넷</span> &lt; 다섯 &lt; 여섯 &lt; 일곱 &lt; 여덟 &lt; 아홉 &lt; 열</p>	quatre<p class="small">(수사: numéral <span class="em">coréen</span>)</p><ul><li>Lorsqu'ils sont employés <span class="em">en contact direct avec des classificateurs</span>, certains numéraux d'origine coréenne &mdash;&nbsp;tel qu'ici 넷&nbsp;&mdash; subissent de légères modifications de forme pour en faciliter la prononciation&nbsp;: 하나 &rarr; 한, 둘 &rarr; 두, 셋 &rarr; 세, 넷 &rarr; 네, 스물 &rarr; 스무.<br><br>&mdash;&nbsp;한국 역사 수업이 <span style="font-weight: bold">네</span> 시에 끝나요.<br>&mdash;&nbsp;<span style="font-style: italic">Le cours d'histoire coréenne se termine à quatre heures.</span><br><br>&mdash;&nbsp;동전 네 개 / 소설책 네 권 / 오토바이 네 대<br>&mdash;&nbsp;<span style="font-style: italic">4 pièces (de monnaie) / 4 romans / 4 motos</span></li></ul>
[sound:다섯_5.mp3]	다섯<p class="small light">하나 &lt; 둘 &lt; 셋 &lt; 넷 &lt; <span style="font-weight: bold">다섯</span> &lt; 여섯 &lt; 일곱 &lt; 여덟 &lt; 아홉 &lt; 열</p>	cinq<p class="small">(수사: numéral <span class="em">coréen</span>)</p>
