tags: darakwon 9-과

[sound:공.mp3]	공 <span class="small">(0)</span><p class="small light"><span style="font-weight: bold">공</span> &lt; 일 &lt; 이 &lt; 삼 &lt; 사 &lt; 오 &lt; 육 &lt; 칠 &lt; 팔 &lt; 구 &lt; 십</p>	zéro<hr/>balle, ballon
[sound:천_1,000.mp3]	천 <span class="small">(1,000)</span>	mille<p class="small">(수사: numéral <span class="em">sino-coréen</span>)</p>
[sound:만_10,000.mp3]	만 <span class="small">(10,000)</span>	dix mille, myriade <span class="small">(10<sup>4</sup>)</span><p class="small">(수사: numéral <span class="em">sino-coréen</span>)</p>
[sound:십만_100,000.mp3]	십만 <span class="발음">[심만]</span> <span class="small">(100,000)</span>	cent mille <span class="small">(10<sup>1+4</sup>)</span><p class="small">(수사: numéral <span class="em">sino-coréen</span>)</p>
[sound:백만_1,000,000.mp3]	백만 <span class="발음">[뱅만]</span> <span class="small">(1,000,000)</span>	million <span class="small">(10<sup>2+4</sup>)</span><p class="small">(수사: numéral <span class="em">sino-coréen</span>)</p>
[sound:천만_10,000,000.mp3]	천만 <span class="small">(10,000,000)</span>	dix millions <span class="small">(10<sup>3+4</sup>)</span><p class="small">(수사: numéral <span class="em">sino-coréen</span>)</p>
[sound:억_100,000,000.mp3]	억 <span class="small">(100,000,000)</span>	cent millions <span class="small">(10<sup>4+4</sup>)</span><p class="small">(수사: numéral <span class="em">sino-coréen</span>)</p>
[sound:십억_1,000,000,000.mp3]	십억 <span class="발음">[시벅]</span> <span class="small">(1,000,000,000)</span>	milliard, billion <span class="small">(10<sup>1+8</sup>)</span><p class="small">(수사: numéral <span class="em">sino-coréen</span>)</p>

[sound:학용품.mp3]	학용품 <span class="발음">[하굥품]</span>	fournitures scolaires
[sound:책.mp3]	책<p class="small light">/ 소설책 / 도서관 / 서점</p>	livre<p class="small light">/ roman / bibliothèque / librairie</p><ul><li>책 한 <span class="em">권</span> (1 livre)</li><li>소설책 네 <span class="em">권</span> (4 romans)</li></ul>
[sound:공책.mp3]	공책	cahier<ul><li>공책 한 <span class="em">권</span> (1 cahier)</li></ul>
[sound:사전.mp3]	사전	dictionnaire<ul><li>사전 한 <span class="em">권</span> (1 dictionnaire)</li></ul>
[sound:볼펜.mp3]	볼펜 <span class="small light">/ 연필</span>	stylo-bille <span class="small light">/ crayon</span><p class="small">(angl. “ball pen”)</p><ul><li>볼펜 세 <span class="em">자루</span> (3 stylos)</li><li>볼펜 두 <span class="em">개</span> (2 stylos)</li></ul>
