tags: darakwon 10-과

[sound:경제학.mp3]	경제학	sciences économiques, économie
[sound:길.mp3]	길 <span class="small light">/ 거리</span>	route, chemin, voie <span class="small light">/ rue</span>
[sound:들.mp3]	-들	suffixe de pluriel<ul>&mdash;&nbsp;친구<span style="font-weight: bold">들</span>하고 수영장에 갔어요. / 친구<span style="font-weight: bold">들</span>이랑 영화를 봤어요. / 친구<span style="font-weight: bold">들</span>과 영화도 봤어요.<br>&mdash;&nbsp;<span style="font-style: italic">Il est allé à la piscine avec des amis. / Il a regardé un film avec des amis. / Il a aussi été voir un film avec des amis.</span><br><br>&mdash;&nbsp;전철에 사람<span style="font-weight: bold">들</span>이 많았어요.<br>&mdash;&nbsp;<span style="font-style: italic">Il y avait beaucoup de monde dans le métro.</span><br><br>&mdash;&nbsp;친구<span style="font-weight: bold">들</span>에게 이메일로 사진을 보냅니다.<br>&mdash;&nbsp;<span style="font-style: italic">Il envoie des photos par email à ses amis.</span></ul>
[sound:많이.mp3]	많이<p class="small">(&ne;&nbsp;조금)</p>	beaucoup<p class="small">(&ne;&nbsp;peu, un peu)</p>
[sound:시험.mp3]	시험 <span class="small light">/ 시험장</span>	examen <span class="small light">/ centre d'examen</span><p class="small">(scolaire)</p>
[sound:약속.mp3]	약속 <span class="발음">[약쏙]</span><p class="small light">/ 새끼손가락 약속</p>	rendez-vous<hr/>promesse, engagement<p class="small light">/ promis juré (en crochetant l'auriculaire)</p>
[sound:어제.mp3]	어제<p class="small light">그제 / 그저께 &lt; <span style="font-weight: bold">어제</span> &lt; 오늘 &lt; 내일 &lt; 모레</p>	hier
[sound:예술.mp3]	예술 <span class="small light">/ 미술 / 기술</span>	art(s) <span class="small light">/ beaux-arts / technique</span>
[sound:음악.mp3]	음악 <span class="발음">[으막]</span>	musique
[sound:은행.mp3]	은행 <span class="small light">/ 은행원</span>	banque <span class="small light">/ banquier</span>
[sound:숙제.mp3]	숙제 <span class="발음">[숙쩨]</span><p class="small light">/ 연습</p>	devoirs <span class="small">(scolaires)</span><p class="small light">/ exercice</p>

[sound:터미널.mp3]	(버스) 터미널	gare routière, terminal (de bus)
[sound:남부터미널.mp3]	남부터미널	gare routière de Nambu<p class="small">(angl. “Nambu Bus Terminal”)</p><ul class="small"><li>située dans l'arrondissement de Seocho (<span class="em">서초구</span>) au sud de Séoul.</li></ul><hr/><img src="서초구.svg">
[sound:남부터미널역.mp3]	남부터미널<span style="font-weight: bold">역</span>	<span style="font-weight: bold">station</span> “gare routière de Nambu”<ul class="small"><li>Station située sur la ligne <span style="color:#FE5B10">&#10104;</span> (삼 호선) du métro de Séoul (수도권 전철), dans l'arrondissement de Seocho (<span class="em">서초구</span>) au sud du fleuve Han (한강).</li><br><li>Elle dessert la gare routière de Nambu (남부터미널) et le centre des arts de Séoul (<span class="em">예술의 전당</span>).</li></ul><hr/><img src="서초구.svg">

[sound:호선.mp3]	호선<p class="small">일 호선 / 이 호선 / 삼 호선 / &hellip;</p>	ligne de métro<p class="small">(수분류사: classificateur + ordinal <span class="em">sino-coréen</span>)</p><ul><li>일 호선 (ligne n&deg;<span style="color:#0D3692">&#10102;</span>)</li><li>이 호선 (ligne n&deg;<span style="color:#33A23D">&#10103;</span>)</li><li>삼 호선 (ligne n&deg;<span style="color:#FE5B10">&#10104;</span>)</li></ul>

# 수도권 전철 - Seoul Metropolitan Subway
# <span style="color:#0D3692">&#10102;</span>1호선
# <span style="color:#33A23D">&#10103;</span>2호선
# <span style="color:#FE5B10">&#10104;</span>3호선
# <span style="color:#32A1C8">&#10105;</span>4호선
# <span style="color:#8B50A4">&#10106;</span>5호선
# <span style="color:#C55C1D">&#10107;</span>6호선
# <span style="color:#54640D">&#10108;</span>7호선
# <span style="color:#F51361">&#10109;</span>8호선
# <span style="color:#AA9872">&#10110;</span>9호선

[sound:택시.mp3]	택시 <span class="발음">[택씨]</span>	taxi<p class="small">(교통수단: moyen de transport)</p><ul><li>표현 (expression)<br><br>&mdash;&nbsp;택시를 타다<br>&mdash;&nbsp;<span style="font-style: italic">prendre un taxi</span><br><br>&mdash;&nbsp;택시로<br>&mdash;&nbsp;<span style="font-style: italic">en taxi</span></li><br></ul>
[sound:지하철_전철.mp3]	지하철<hr/>전철	métro<p class="small">(지하: souterrain, 전: électricité, 철: fer (métal) ; 교통수단: moyen de transport)</p><ul><li>표현 (expression)<br><br>&mdash;&nbsp;지하철(을) / 전철(을) 타다<br>&mdash;&nbsp;<span style="font-style: italic">prendre le métro</span><br><br>&mdash;&nbsp;지하철로 / 전철로<br>&mdash;&nbsp;<span style="font-style: italic">en métro</span></li></ul>
[sound:자전거.mp3]	자전거	vélo, bicyclette<p class="small">(교통수단: moyen de transport)</p><ul><li>자전거 다섯 <span class="em">대</span> (5 vélos)</li><br><li>표현 (expression)<br><br>&mdash;&nbsp;자전거(를) 타다<br>&mdash;&nbsp;<span style="font-style: italic">faire du vélo</span><br><br>&mdash;&nbsp;자전거로<br>&mdash;&nbsp;<span style="font-style: italic">à vélo</span></li></ul>
[sound:비행기.mp3]	비행기	avion<p class="small">(교통수단: moyen de transport)</p><ul><li>표현 (expression)<br><br>&mdash;&nbsp;비행기(를) 타다<br>&mdash;&nbsp;<span style="font-style: italic">prendre l'avion</span><br><br>&mdash;&nbsp;비행기로<br>&mdash;&nbsp;<span style="font-style: italic">en avion</span></li></ul>
[sound:기차.mp3]	기차	train<p class="small">(교통수단: moyen de transport)</p><ul><li>표현 (expression)<br><br>&mdash;&nbsp;기차(를) 타다<br>&mdash;&nbsp;<span style="font-style: italic">prendre le train</span><br><br>&mdash;&nbsp;기차로<br>&mdash;&nbsp;<span style="font-style: italic">en train</span></li></ul>
[sound:트럭.mp3]	트럭	camion<p class="small">(angl. “truck” ; 교통수단: moyen de transport)</p><ul><li>표현 (expression)<br><br>&mdash;&nbsp;트럭으로<br>&mdash;&nbsp;<span style="font-style: italic">en camion</span></li></ul>
[sound:오토바이.mp3]	오토바이	moto<p class="small">(콩글리시, konglish “autobi(cycle)”&nbsp;; via le jap. オートバイ)</p><ul><li>오토바이 네 <span class="em">대</span> (4 motos)</li></ul>

[sound:로.mp3]	-(으)로	particule (조사) du complément circonstanciel de moyen<ul><li>on utilise <span class="em">어떻게</span> (“comment”) accompagné d'un verbe de déplacement pour poser une question sur le moyen de transport (<span class="em">교통수단</span>) ou le mode de déplacement</li><br><li>dans la réponse, on applique le suffixe <span class="em">-로</span> au moyen de transport si celui-ci se termine par une <span class="em">voyelle ou “ㄹ”</span>, et le suffixe <span class="em">-으로</span> dans tous les autres cas (c-à-d <span class="em">toute consonne autre que “ㄹ”</span>)<br><br><table style="font-size: 100%"><tr><td width="25%">버스</td><td>&rarr; 버스로 <span class="light">(en bus)</span></td></tr><tr><td>택시</td><td>&rarr; 택시로 <span class="light">(en taxi)</span></td></tr><tr><td>지하철 / 전철</td><td>&rarr; 지하철로 / 전철로 <span class="light">(en métro)</span></td></tr><tr><td>자전거</td><td>&rarr; 자전거로 <span class="light">(à vélo)</span></td></tr><tr><td>비행기</td><td>&rarr; 비행기로 <span class="light">(en avion)</span></td></tr><tr><td>기차</td><td>&rarr; 기차로 <span class="light">(en train)</span></td></tr><tr><td>트럭</td><td>&rarr; 트럭으로 <span class="light">(en camion)</span></td></tr></table></li><br><li>“à pied” se dit <span class="em">걸어서</span>, dérivé du verbe marcher (걷다, verbe irrégulier en “ㄷ”)</li><br><li>le language est un moyen d'expression&nbsp;:<br><br>&mdash;&nbsp;한국어로 말해 보세요.<br>&mdash;&nbsp;<span style="font-style: italic">Dites en coréen.</span></li></ul>
[sound:걸어서.mp3]	걸어서 <span class="발음">[거러서]</span><div class="활용"><div class="bloc"><div class="부정사">걷다</div><div class="불규칙">(“ㄷ” 불규칙 동사)</div></div><div class="bloc"><div class="서">걸어서</div></div></div>	à pied<p class="small">(교통수단: moyen de transport)</p>

[sound:에서_까지.mp3]	-에서 &rarr; -까지	de &hellip; &rarr; à &hellip;<ul class="small"><li>bornes <span class="em">spatiales</span> d'un événement</li></ul>

[sound:지난.mp3]	지난<p class="small">(&ne;&nbsp;다음)</p>	dernier, précédent<p class="small">(&ne;&nbsp;prochain, suivant)</p>
[sound:지난_주말.mp3]	지난 주말	le week-end dernier
[sound:지난_주.mp3]	지난 주<p class="small light"><span style="font-weight: bold">지난 주</span> &lt; 이번 주 &lt; 다음 주</p>	la semaine dernière
[sound:지난_화요일.mp3]	지난 화요일	mardi dernier

[sound:현재.mp3]	(직설법) 현재 <span class="small light">/ 시제</span><div class="활용"><div class="bloc"><div class="부정사">부정사</div></div><div class="bloc"><div class="현재">현재</div><div class="과거">과거</div></div></div>	(indicatif) présent <span class="small light">/ temps</span><p class="small">(활용: conjugaison ; angl. “present tense”)</p>
[sound:과거.mp3]	(직설법) 과거 <span class="small light">/ 시제</span><div class="활용"><div class="bloc"><div class="부정사">부정사</div></div><div class="bloc"><div class="현재">현재</div><div class="과거">과거</div></div></div>	(indicatif) passé <span class="small light">/ temps</span><p class="small">(활용: conjugaison ; angl. “past tense”)</p>
[sound:았어요_었어요.mp3]	<div class="활용"><div class="과거">-았 / -었 / -했어요</div></div>	terminaisons du passé (과거)<br>registre informel poli (해요체)<p class="small">(활용: conjugaison ; 직설법: mode indicatif ; 시제: temps)</p><ul><li>Le registre informel poli (<span class="em">해요체</span>) permet de s'adresser de manière courtoise à des amis sans être formel.</li><br><li>La forme choisie est fonction de la voyelle de la dernière syllabe du radical verbal&nbsp;:<ul style="font-size: 100%; list-style-type: circle"><br><li>après les voyelles <span class="em">ㅏ</span> et <span class="em">ㅗ</span> on emploie <span class="em">-았</span></li><li>après toutes les autres voyelles on utilise <span class="em">-었</span></li><li>exception&nbsp;: les verbes en <span class="em">-하다</span> se conjuguent en -였 qui se contracte en <span class="em">-했</span></li></ul></li></ul>


