tags: darakwon 11-과

[sound:결혼식.mp3]	결혼식	cérémonie de mariage
[sound:곧.mp3]	곧	bientôt
[sound:다시_또.mp3]	다시<hr/>또	encore, à nouveau<ul>Avec les nuances suivantes&nbsp;:<li>다시 - utilisé dans le sens de “reprendre” une tâche (soit que celle-ci ait été arrêtée ou suspendue, soit que l'on ne soit pas content du résultat)</li><li>또 - utilisé pour qualifier une nouvelle occurrence d'un fait récurrent</li></ul>
[sound:다음.mp3]	다음<p class="small">(&ne;&nbsp;지난)</p>	prochain, suivant<p class="small">(&ne;&nbsp;dernier, précédent)</p>
[sound:주.mp3]	주	semaine
[sound:다음_주.mp3]	다음 주<p class="small light">지난 주 &lt; 이번 주 &lt; <span style="font-weight: bold">다음 주</span></p>	la semaine prochaine
[sound:약국.mp3]	약국 <span class="발음">[약꾹]</span>	pharmacie<p class="small">(약: médicament)</p>
[sound:행인.mp3]	행인	passant<p class="small">(personne)</p>

[sound:누나_언니.mp3]	누나	grande sœur <span class="small">(d'un garçon)</span>
[sound:남동생.mp3]	남동생	petit frère
[sound:부모님.mp3]	부모<span class="light">(님)</span><p class="small light">/ 아버지 / 어머니</p>	parents<p class="small light">/ père / mère</p>

[sound:거실.mp3]	거실	salon<p class="small">(pièce)</p>
[sound:베란다.mp3]	베란다	véranda, balcon
[sound:벽.mp3]	벽 <span class="small light">/ 창문 / 문</span>	mur <span class="small light">/ fenêtre / porte</span>
[sound:벽장.mp3]	벽장 <span class="발음">[벽짱]</span> <span class="small light">/ 옷장</span>	placard <span class="small light">/ garde-robe, penderie</span>
[sound:부엌.mp3]	부엌	cuisine<p class="small">(pièce)</p>
[sound:스탠드.mp3]	스탠드	lampe (de bureau)
[sound:안방.mp3]	안방	chambre parentale<p class="small">(litt. “pièce du fond”)</p>
[sound:창문.mp3]	창문 <span class="small light">/ 문 / 벽</span>	fenêtre <span class="small light">/ porte / mur</span>
[sound:침대.mp3]	침대	lit
[sound:현관.mp3]	현관	entrée, vestibule<p class="small">(pièce)</p>
[sound:화장실.mp3]	화장실	toilettes, wc<p class="small">(pièce)</p>
[sound:휴지통.mp3]	휴지통	corbeille à papier

[sound:앞.mp3]	앞<p class="small">(&ne;&nbsp;뒤)</p>	devant, en face de<p class="small">(&ne;&nbsp;derrière)</p><ul>&mdash;&nbsp;민정 씨의 방은 안방 앞에 있어요.<br>&mdash;&nbsp;<span style="font-style: italic">La chambre de Min-jeong est en face de la chambre parentale.</span><br><br>&mdash;&nbsp;부엌은 거실 앞에 있어요.<br>&mdash;&nbsp;<span style="font-style: italic">La cuisine est en face du salon.</span></ul>
[sound:뒤.mp3]	뒤<p class="small">(&ne;&nbsp;앞)</p>	derrière<p class="small">(&ne;&nbsp;devant)</p>
[sound:옆.mp3]	옆	à côté de<ul>&mdash;&nbsp;민정 씨 남동생의 방은 현관 옆에 있어요.<br>&mdash;&nbsp;<span style="font-style: italic">La chambre du petit frère de Min-jeong est à côté de l'entrée.</span><br><br>&mdash;&nbsp;도서관이 우체국 옆에 있어요.<br>&mdash;&nbsp;<span style="font-style: italic">La bibliothèque est à côté de la poste.</span></ul>
[sound:가운데.mp3]	가운데	au milieu de, au centre de<ul>&mdash;&nbsp;거실은 가운데에 있어요.<br>&mdash;&nbsp;<span style="font-style: italic">Le salon est au centre.</span></ul>
[sound:오른쪽.mp3]	오른쪽 <span class="small light">/ 우회전</span><p class="small">(&ne;&nbsp;왼쪽)</p>	du côté droit, à droite <span class="small light">/ rotation à droite</span><p class="small"><p class="small">(쪽: côté, 회전: rotation ; &ne;&nbsp;à gauche)</p><ul>&mdash;&nbsp;책상 오른쪽에 침대가 있어요.<br>&mdash;&nbsp;<span style="font-style: italic">Le lit est à droite du bureau.</span></ul>
[sound:왼쪽.mp3]	왼쪽 <span class="small light">/ 좌회전</span><p class="small">(&ne;&nbsp;오른쪽)</p>	du côté gauche, à gauche <span class="small light">/ rotation à gauche</span><p class="small">(쪽: côté, 회전: rotation ; &ne;&nbsp;à droite)</p><ul>&mdash;&nbsp;잠실아파트는 약국 왼쪽에 있어요.<br>&mdash;&nbsp;<span style="font-style: italic">L'appartement Jamsil est à gauche de la pharmacie.</span><br><br>&mdash;&nbsp;벽장은 창문 왼쪽에 있어요.<br>&mdash;&nbsp;<span style="font-style: italic">Le placard est à gauche de la fenêtre.</span><br><br>&mdash;&nbsp;약국은 우체국 왼쪽에 있어요.<br>&mdash;&nbsp;<span style="font-style: italic">La pharmacie se trouve à gauche du bureau de poste.</span></ul>
[sound:위.mp3]	위<p class="small">(&ne;&nbsp;밑 / 아래)</p>	sur, au-dessus de<p class="small">(&ne;&nbsp;sous, en dessous de)</p><ul>&mdash;&nbsp;책상 위에 컴퓨터하고 스탠드가 있어요.<br>&mdash;&nbsp;<span style="font-style: italic">Sur le bureau il y a un ordinateur et une lampe.</span><br><br>&mdash;&nbsp;책상 위에 연필이 있어요.<br>&mdash;&nbsp;<span style="font-style: italic">Il y a un crayon sur le bureau.</span></ul>
[sound:밑_아래.mp3]	밑<hr/>아래<p class="small">(&ne;&nbsp;위)</p>	sous, en dessous de<p class="small">(&ne;&nbsp;sur, au-dessus de)</p><ul>&mdash;&nbsp;책상 밑에 휴지통이 있어요.<br>&mdash;&nbsp;<span style="font-style: italic">Il y a une corbeille à papier sous le bureau.</span></ul>
[sound:안_속.mp3]	안<hr/>속<p class="small">(&ne;&nbsp;밖)</p>	dans, au-dedans, à l'intérieur de<p class="small">(&ne;&nbsp;dehors, au-dehors, à l'extérieur de)</p><ul>&mdash;&nbsp;방 안에는 책상이 있어요.<br>&mdash;&nbsp;<span style="font-style: italic">À l'intérieur de la chambre il y a un bureau.</span><br><br>&mdash;&nbsp;괄호 안을 채우세요.<br>&mdash;&nbsp;<span style="font-style: italic">Complétez les parenthèses.</span><br><br>&mdash;&nbsp;괄호 안에 알맞은 단어를 찾으세요.<br>&mdash;&nbsp;<span style="font-style: italic">Trouvez le bon mot entre parenthèses.</span></ul>
[sound:밖.mp3]	밖<p class="small">(&ne;&nbsp;안 / 속)</p>	dehors, au-dehors, à l'extérieur de<p class="small">(&ne;&nbsp;dans, au-dedans, à l'intérieur de)</p>

[sound:동.mp3]	동<p class="small">일 동 / 이 동 / 삼 동 / &hellip;</p>	quartier<ul class="small"><li>chaque arrondissement (구) est divisé en quartiers (동) eux-mêmes sous-divisés en 통</li><li>il y a 2 types de quartiers&nbsp;: les <span class="em">법정동</span> (법정: tribunal, cour&nbsp;; litt. “quartier, considéré du point de vue de la loi”) et les <span class="em">행정동</span> (행정: administration&nbsp;; litt. “quartier, considéré du point de vue administratif”)</li><li>les 법정동 ont une longue tradition&nbsp;; lorsque la population de ces 법정동 augmente, l'administration en charge les divise en plusieurs 행정동&nbsp;; lorsque leur population diminue, plusieurs 법정동 sont intégrés dans un même 행정동</li><li>les 25 arrondissements (구) de Séoul réunissent 423 quartiers administratifs (행정동) au total, représentant 13787 통</li></ul><hr/>n&deg; de bâtiment <span class="small">(dans une résidence, sur un campus)</span><p class="small">(수분류사: classificateur + ordinal <span class="em">sino-coréen</span>)</p><ul><li>이백오십오 동 (bâtiment n&deg;255)</li></ul>
[sound:호.mp3]	호<p class="small">일 호 / 이 호 / 삼 호 / &hellip;</p>	n&deg; de chambre<p class="small">(dans un dortoir ou un hôtel)</p><hr/>n&deg; d'appartement <span class="small">(dans un immeuble)</span><p class="small">(수분류사: classificateur + ordinal <span class="em">sino-coréen</span>)</p><ul><li>삼백일 호 (chambre n&deg;301)</li><li>백오 호 (appartement n&deg;105)</li><li>천이백구 호 (appartement n&deg;1209)</li><li>천오백이 호 (appartement n&deg;1502)</li></ul>



[sound:현재.mp3]	(직설법) 현재 <span class="small light">/ 시제</span><div class="활용"><div class="bloc"><div class="부정사">부정사</div></div><div class="bloc"><div class="현재">현재</div><div class="과거">과거</div><div class="미래">미래</div></div></div>	(indicatif) présent <span class="small light">/ temps</span><p class="small">(활용: conjugaison ; angl. “present tense”)</p>
[sound:과거.mp3]	(직설법) 과거 <span class="small light">/ 시제</span><div class="활용"><div class="bloc"><div class="부정사">부정사</div></div><div class="bloc"><div class="현재">현재</div><div class="과거">과거</div><div class="미래">미래</div></div></div>	(indicatif) passé <span class="small light">/ temps</span><p class="small">(활용: conjugaison ; angl. “past tense”)</p>
[sound:미래.mp3]	(직설법) 미래 <span class="small light">/ 시제</span><div class="활용"><div class="bloc"><div class="부정사">부정사</div></div><div class="bloc"><div class="현재">현재</div><div class="과거">과거</div><div class="미래">미래</div></div></div>	(indicatif) futur <span class="small light">/ temps</span><p class="small">(활용: conjugaison ; angl. “future tense”)</p>
[sound:을_거예요.mp3]	<div class="활용"><div class="미래">(-ㄹ / -을) 거예요</div></div>	terminaisons du futur (미래)<br>registre informel poli (해요체)<p class="small">(활용: conjugaison ; 직설법: mode indicatif ; 시제: temps)</p><ul><li>Le registre informel poli (<span class="em">해요체</span>) permet de s'adresser de manière courtoise à des amis sans être formel.</li><br><li>La forme choisie est fonction de la dernière syllabe du radical verbal&nbsp;:<ul style="font-size: 100%; list-style-type: circle"><br><li>après toutes les voyelles on emploie <span class="em">-ㄹ 거예요</span></li><li>après toutes les consonnes autres que “ㄹ” on utilise <span class="em">-을 거예요</span></li><li>après “ㄹ” on utilise <span class="em">거예요</span></li></ul></li></ul>


[sound:이에요_예요.mp3]	-이에요 / -예요<div class="활용"><div class="bloc"><div class="부정사">이다</div></div><div class="bloc"><div class="현재">-이에요 / -예요</div><div class="과거">-이었어요 / -였어요</div><div class="미래">일 거예요</div></div><div class="bloc"><div class="고">이고</div><div class="지만">이지만</div><div class="는데">인데</div><div class="면">이면</div></div></div>	il est<p class="small">(해요체, registre informel poli)</p><ul><li>la <span class="em">copule</span> sert à marquer l'identité</li><li>on utilise <span class="em">-이에요 après une consonne</span> et <span class="em">-예요 après une voyelle</span></li></ul>
[sound:이었어요_였어요.mp3]	-이었어요 / -였어요<div class="활용"><div class="bloc"><div class="부정사">이다</div></div><div class="bloc"><div class="현재">-이에요 / -예요</div><div class="과거">-이었어요 / -였어요</div><div class="미래">일 거예요</div></div><div class="bloc"><div class="고">이고</div><div class="지만">이지만</div><div class="는데">인데</div><div class="면">이면</div></div></div>	il était<p class="small">(해요체, registre informel poli)</p><ul><li>la <span class="em">copule</span> sert à marquer l'identité</li><li>on utilise <span class="em">-이었어요 après une consonne</span> et <span class="em">-였어요 après une voyelle</span></li></ul>
