tags: darakwon 12-과

[sound:계절.mp3]	계절<p class="small">(봄 &lt; 여름 &lt; 가을 &lt; 겨울)</p>	saison<p class="small">(printemps &lt; été &lt; automne &lt; hiver)</p>
[sound:봄.mp3]	봄<p class="small">(<span class="em">봄</span> &lt; 여름 &lt; 가을 &lt; 겨울)</p>	printemps<p class="small">(계절: saison)</p>
[sound:여름.mp3]	여름<p class="small">(봄 &lt; <span class="em">여름</span> &lt; 가을 &lt; 겨울)</p>	été<p class="small">(계절: saison)</p>
[sound:가을.mp3]	가을<p class="small">(봄 &lt; 여름 &lt; <span class="em">가을</span> &lt; 겨울)</p>	automne<p class="small">(계절: saison)</p>
[sound:겨울.mp3]	겨울<p class="small">(봄 &lt; 여름 &lt; 가을 &lt; <span class="em">겨울</span>)</p>	hiver<p class="small">(계절: saison)</p>
[sound:장마.mp3]	장마	saison des pluies, mousson<p class="small">(여름에: en été)</p>
[sound:단풍.mp3]	단풍	changement de couleur des feuilles<p class="small">(가을에: en automne)</p>

[sound:방학.mp3]	방학 <span class="small light">/ 휴가</span>	vacances (scolaires)<p class="small light">/ vacances, congés (salarié)</p>


[sound:빨리.mp3]	빨리	rapidement, vite
[sound:이메일.mp3]	이메일	email / courriel
[sound:친척.mp3]	친척 <span class="small light">/ 가족</span>	parentèle <span class="small light">/ famille</span><p class="small">(angl. “relatives”)</p>
[sound:문화.mp3]	문화	culture<p class="small">(civilisation)</p>
[sound:문화원.mp3]	문화원	centre culturel
[sound:한국문화원.mp3]	한국문화원	centre culturel coréen
[sound:샹제리제.mp3]	샹제리제	Champs-Élysées
[sound:우산.mp3]	우산	parapluie
[sound:그래요_정말이에요_진짜예요.mp3]	아, 그래요?<hr/>정말이에요?<hr/>진짜예요?	(ah,) vraiment ? c'est vrai ?
[sound:화상_전화.mp3]	화상 전화	vidéo-téléphone
[sound:화상_전화하다.mp3]	화상 전화하다	vidéo-téléphoner


[sound:따뜻하다.mp3]	따뜻하다<p class="small">(&ne;&nbsp;시원하다)</p>	faire doux<p class="small">(météo, angl. “warm” ; &ne;&nbsp;faire frais)</p>
[sound:따뜻해요.mp3]	따뜻해요<div class="활용"><div class="bloc"><div class="부정사">따뜻하다</div></div><div class="bloc"><div class="현재">따뜻해요</div><div class="과거">따뜻했어요</div><div class="미래">따뜻할 거예요</div></div><div class="bloc"><div class="연결">따뜻하고</div><div class="연결">따뜻하지만</div><div class="연결">따뜻한데</div><div class="연결">따뜻하면</div></div></div>	il fait doux<p class="small">(météo)</p>
[sound:따뜻했어요.mp3]	따뜻했어요<div class="활용"><div class="bloc"><div class="부정사">따뜻하다</div></div><div class="bloc"><div class="현재">따뜻해요</div><div class="과거">따뜻했어요</div><div class="미래">따뜻할 거예요</div></div><div class="bloc"><div class="연결">따뜻하고</div><div class="연결">따뜻하지만</div><div class="연결">따뜻한데</div><div class="연결">따뜻하면</div></div></div>	il faisait doux<p class="small">(météo)</p>
