tags: darakwon 13-과

[sound:가족.mp3]	가족 <span class="small light">/ 친척</span>	famille <span class="small light">/ parentèle</span>
[sound:할아버지_조부.mp3]	<span class="light">(외)</span>할아버지<p class="small light">/ 할머니</p><hr/>조부<span class="light">(님)</span><p class="small light">/ 조모 / 조부모</p><p class="fr small">(sino-coréen, formel)</p>	grand-père<p class="small light">/ grand-mère</p><p class="small light">/ grands-parents</p>
[sound:할머니_조모.mp3]	<span class="light">(외)</span>할머니<p class="small light">/ 할아버지</p><hr/>조모<span class="light">(님)</span><p class="small light">/ 조부 / 조부모</p><p class="fr small">(sino-coréen, formel)</p>	grand-mère<p class="small light">/ grand-père</p><p class="small light">/ grands-parents</p>
[sound:아버지_아빠.mp3]	아버지 <span class="small light">/ 어머니 / 부모(님)</span><hr/>아빠 <span class="small light">/ 엄마</span>	père <span class="small light">/ mère / parents</span><hr/>papa <span class="small light">/ maman</span>
[sound:어머니_엄마.mp3]	어머니 <span class="small light">/ 아버지 / 부모(님)</span><hr/>엄마 <span class="small light">/ 아빠</span>	mère <span class="small light">/ père / parents</span><hr/>maman <span class="small light">/ papa</span>
[sound:형_오빠.mp3]	형 <span class="small light">/ 형수</span><hr/>오빠 <span class="small light">/ 새언니</span>	grand frère (d'un garçon)<hr/>grand frère (d'une fille)<p class="small light">/ belle-sœur</p>
[sound:남동생.mp3]	남동생 <span class="small light">/ 제수</span><hr/>남동생 <span class="small light">/ 올케</span>	petit frère (d'un garçon)<hr/>petit frère (d'une fille)<p class="small light">/ belle-sœur</p>
[sound:누나_언니.mp3]	누나 <span class="small light">/ 매형</span><hr/>언니 <span class="small light">/ 형부</span>	grande sœur (d'un garçon)<hr/>grande sœur (d'une fille)<p class="small light">/ beau-frère</p>
[sound:여동생.mp3]	여동생 <span class="small light">/ 매제</span><hr/>여동생 <span class="small light">/ 제부</span>	petite sœur (d'un garçon)<hr/>petite sœur (d'une fille)<p class="small light">/ beau-frère</p>
[sound:동생.mp3]	동생<p class="small light">/ 남동생 / 여동생</p>	cadet<p class="small light">/ petit frère / petite sœur</p>
[sound:남편.mp3]	남편 <span class="small light">/ 아내 / 부인</span>	mari <span class="small light">/ femme</span>
[sound:애인.mp3]	애인	amoureux, petit ami

[sound:경치.mp3]	경치	paysage, vue
[sound:고향.mp3]	고향	pays/ville natal(e)
[sound:해변.mp3]	해변 <span class="small light">/ 바다</span>	plage <span class="small light">/ mer, océan</span>
[sound:근처.mp3]	근처	à proximité, alentour, autour, dans les environs
[sound:네요.mp3]	-네요	<p class="small" style="font-weight: bold">&mdash;&nbsp;expression de l'étonnement&nbsp;&mdash;</p><ul><li>terminaison servant à exprimer une sorte d'émotion</li><li>le locuteur émet un étonnement face à un fait inattendu</li></ul>
[sound:박물관.mp3]	박물관 <span class="발음">[방물관]</span>	musée
[sound:루브르_박물관.mp3]	루브르 박물관	musée du Louvre
[sound:물론.mp3]	물론	bien sûr, bien entendu, naturellement, certainement
[sound:물론이죠.mp3]	물론이죠	bien sûr<ul><li>pour marquer son accord avec ce qui est dit</li></ul>
[sound:탑.mp3]	탑 <span class="small light">/ 에펠탑</span>	tour <span class="small light">/ tour Eiffel</span><p class="small">(bâtiment)</p>
[sound:에펠탑.mp3]	에펠탑	tour Eiffel

[sound:간호사.mp3]	간호사<p class="small light">/ 의사 / 간병인 / 환자</p>	infirmier<p class="small light">/ médecin / soignant / patient</p>
[sound:의사.mp3]	의사<p class="small light">/ 간호사 / 간병인 / 환자</p>	médecin, docteur<p class="small light">/ infirmier / soignant / patient</p>
[sound:무역.mp3]	무역	commerce
[sound:무역_회사.mp3]	무역 회사 <span class="발음">[무여 쾨사]</span>	entreprise d'import-export

[sound:달.mp3]	달<p class="small">한 달 / 두 달 / 세 달 / &hellip;</p><span class="light"><hr/>개월<p class="small">일 개월 / 이 개월 / 삼 개월 / &hellip;</p></span>	mois (durée)<p class="small">(수분류사: classificateur + cardinal <span class="em">coréen</span>)</p><hr/>lune<ul><li>한 달 (1 mois)</li><li>열 달 (10 mois)</li><br><span class="light"><li>일 개월 (1 mois)</li><li>십 개월 (10 mois)</li></span></ul>
[sound:지난_달.mp3]	지난 달<p class="small light"><span style="font-weight: bold">지난 달</span> &lt; 이번 달 &lt; 다음 달</p>	le mois dernier
[sound:다음_달.mp3]	다음 달<p class="small light">지난 달 &lt; 이번 달 &lt; <span style="font-weight: bold">다음 달</span></p>	le mois prochain

[sound:작년.mp3]	작년 <span class="발음">[장년]</span><p class="small light"><span style="font-weight: bold">작년</span> &lt; 올해 &lt; 내년</p>	l'année dernière
[sound:내년.mp3]	내년<p class="small light">작년 &lt; 올해 &lt; <span style="font-weight: bold">내년</span></p>	l'année prochaine

[sound:정말_진짜.mp3]	정말<hr/>진짜	vrai, vraiment
[sound:그래요_정말이에요_진짜예요.mp3]	(아,) 그<span class="불규칙">래</span>요?<div class="활용"><div class="bloc"><div class="부정사">그렇다</div><div class="불규칙">(“ㅎ” 불규칙 형용사)</div></div><div class="bloc"><div class="현재">그래요</div></div></div><hr/>정말이에요?<hr/>진짜예요?	(Ah,) vraiment&nbsp;? / c'est vrai&nbsp;?<p class="small">(litt. “c'est ainsi&nbsp;?”)</p>

[sound:그래서.mp3]	그래서<div class="활용"><div class="bloc"><div class="부정사">그렇다</div><div class="불규칙">(“ㅎ” 불규칙 형용사)</div></div><div class="bloc"><div class="서"><div class="높임">그러셔서</div><div style="font-size: 150%">그래서</div></div></div></div><hr/><div class="활용"><div class="서"><div class="높임">-(으)셔서</div><div style="font-size: 150%">AV-아서 / -어서 / -해서</div></div></div><p class="small">(연결 어미)</p><hr/><div class="활용"><div class="서"><div style="font-size: 150%">N-(이)라서</div></div></div>	donc, c'est pourquoi<p class="small">(&#10102; adverbe conjonctif&nbsp;; &#10103;/&#10104; suffixe jonctif verbal/nominal)</p><ul><li>connecteur logique exprimant une relation de <span class="em">causalité</span></li><li>il ne peut pas être précédé d'un morphème de temps (-았-, -었-, -겠-, &hellip;)</li></ul>
