tags: darakwon 14-과


[sound:취미.mp3]	취미	passe-temps, loisir

# 영화
[sound:애정_영화.mp3]	애정 영화	film romantique
[sound:액션_영화.mp3]	액션 영화	film d'action
[sound:만화.mp3]	만화	bande dessinée
[sound:만화_영화.mp3]	만화 영화	dessin animé<p class="small">(만화: bande dessinée, 영화: film)</p>
[sound:공포.mp3]	공포	horreur, peur, terreur
[sound:공포_영화.mp3]	공포 영화	film d'horreur
[sound:서부_영화.mp3]	서부 영화	western


# 음악
[sound:콘서트.mp3]	콘서트	concert<p class="small">(음악: musique)</p>
[sound:클래식.mp3]	클래식	(musique) classique<p class="small">(음악: musique)</p>
[sound:재즈.mp3]	재즈	jazz<p class="small">(음악: musique)</p>
[sound:팝음악.mp3]	팝음악	(musique de) variété<p class="small">(음악: musique ; angl. “pop music”)</p>
[sound:팝송.mp3]	팝송	chanson de variété<p class="small">(음악: musique ; angl. “pop song”)</p>
[sound:가요-2.mp3]	가요	ballade, chanson populaire<p class="small">(음악: musique)</p>
[sound:랩.mp3]	랩	rap<p class="small">(음악: musique)</p>


# 운동
[sound:축구.mp3]	축구	football<p class="small">(운동: sport)</p>
[sound:농구.mp3]	농구	basket-ball<p class="small">(운동: sport)</p>
[sound:배구.mp3]	배구	volley-ball<p class="small">(운동: sport)</p>
[sound:핸드볼.mp3]	핸드볼	handball<p class="small">(운동: sport)</p>
[sound:골프.mp3]	골프	golf<p class="small">(운동: sport)</p>
[sound:탁구.mp3]	탁구	ping-pong, tennis de table<p class="small">(운동: sport)</p>
[sound:배드민턴.mp3]	배드민턴	badminton<p class="small">(운동: sport)</p>
[sound:야구.mp3]	야구	baseball<p class="small">(운동: sport)</p>

[sound:스키.mp3]	스키	ski<p class="small">(운동: sport)</p>
[sound:스키를_타다.mp3]	스키(를) 타다	faire du ski
[sound:스키장.mp3]	스키장	station de ski

[sound:등산.mp3]	등산	randonnée<p class="small">(운동: sport)</p><hr/>alpinisme<p class="small">(activité de grimpe en montagne)</p>
[sound:등산하다.mp3]	등산하다	randonner
[sound:등산해요.mp3]	등산해요<hr/>등산하세요<p class="small">(honorifique)</p><div class="활용"><div class="bloc"><div class="부정사">등산하다</div></div><div class="bloc"><div class="현재"><div class="하십시오체"><div class="높임">등산하십니다</div>등산합니다</div><div class="해요체"><div class="높임">등산하세요</div>등산해요</div></div><div class="과거"><div class="하십시오체"><div class="높임">등산하셨습니다</div>등산했습니다</div><div class="해요체"><div class="높임">등산하셨어요</div>등산했어요</div></div><div class="미래"><div class="하십시오체"><div class="높임">등산하실 겁니다</div>등산할 겁니다</div><div class="해요체"><div class="높임">등산하실 거예요</div>등산할 거예요</div></div></div><div class="bloc"><div class="연결"><div class="높임">등산하시고</div>등산하고</div><div class="연결"><div class="높임">등산하시지만</div>등산하지만</div><div class="연결"><div class="높임">등산하시는데</div>등산하는데</div><div class="연결"><div class="높임">등산하시면</div>등산하면</div><div class="연결"><div class="높임">등산하셔서</div>등산해서</div></div></div>	il randonne<p class="small">(해요체, registre informel poli)</p>
[sound:등산합니다.mp3]	등산합니다<hr/>등산하십니다<p class="small">(honorifique)</p><div class="활용"><div class="bloc"><div class="부정사">등산하다</div></div><div class="bloc"><div class="현재"><div class="하십시오체"><div class="높임">등산하십니다</div>등산합니다</div><div class="해요체"><div class="높임">등산하세요</div>등산해요</div></div><div class="과거"><div class="하십시오체"><div class="높임">등산하셨습니다</div>등산했습니다</div><div class="해요체"><div class="높임">등산하셨어요</div>등산했어요</div></div><div class="미래"><div class="하십시오체"><div class="높임">등산하실 겁니다</div>등산할 겁니다</div><div class="해요체"><div class="높임">등산하실 거예요</div>등산할 거예요</div></div></div><div class="bloc"><div class="연결"><div class="높임">등산하시고</div>등산하고</div><div class="연결"><div class="높임">등산하시지만</div>등산하지만</div><div class="연결"><div class="높임">등산하시는데</div>등산하는데</div><div class="연결"><div class="높임">등산하시면</div>등산하면</div><div class="연결"><div class="높임">등산하셔서</div>등산해서</div></div></div>	il randonne<p class="small">(하십시오체, registre formel poli)</p>
