tags: darakwon 15-과


[sound:몸.mp3]	몸<hr/>신체<p class="small">(sino-coréen, formel)</p>	corps<ul><li>le mot coréen natif communément utilisé pour désigner le corps est <span class="em">몸</span></li><li>le mot dérivé du chinois est <span class="em">신체</span> ; plus formel, son usage se limite au lexique médical et les documents officiels</li></ul>
[sound:얼굴.mp3]	얼굴	visage<p class="small">(몸: corps)</p>
[sound:머리.mp3]	머리	tête<p class="small">(몸: corps)</p>
[sound:눈.mp3]	눈	neige<hr/>œil<p class="small">(몸: corps)</p>
[sound:귀.mp3]	귀	oreille<p class="small">(몸: corps)</p>
[sound:코.mp3]	코	nez<p class="small">(몸: corps)</p>
[sound:목.mp3]	목	cou, gorge<p class="small">(몸: corps)</p>
[sound:입.mp3]	입	bouche<p class="small">(몸: corps)</p>
[sound:어깨.mp3]	어깨	épaule<p class="small">(몸: corps)</p>
[sound:손.mp3]	손	main<p class="small">(몸: corps)</p>
[sound:팔.mp3]	팔	bras<p class="small">(몸: corps)</p>
[sound:허리.mp3]	허리	hanche<p class="small">(몸: corps)</p>
[sound:등.mp3]	등	dos<p class="small">(몸: corps)</p>
[sound:배.mp3]	배	poire<p class="small">(과일: fruit)</p><hr/>bateau<p class="small">(교통수단: moyen de transport)</p><hr/>ventre<p class="small">(몸: corps)</p>
[sound:피부.mp3]	피부	peau<p class="small">(몸: corps)</p>
[sound:무릎.mp3]	무릎	genou<p class="small">(몸: corps)</p>
[sound:다리.mp3]	다리	jambe<p class="small">(몸: corps)</p><hr/>pont
[sound:발.mp3]	발	pied<p class="small">(몸: corps)</p>
[sound:발목.mp3]	발목	cheville<p class="small">(몸: corps ; 발: pied, 목: cou)</p>
[sound:손목.mp3]	손목	poignet<p class="small">(몸: corps ; 손: main, 목: cou)</p>

[sound:머리가_아프다.mp3]	머리가 아프다	avoir mal à la tête
[sound:배가_아프다.mp3]	배가 아프다	avoir mal au ventre
[sound:다리가_아프다.mp3]	다리가 아프다	avoir mal aux jambes
[sound:목이_아프다.mp3]	목이 아프다	avoir mal à la gorge

[sound:감기.mp3]	감기	rhume
[sound:감기에_걸리다.mp3]	감기에 걸리다	attraper un rhume (au passé, être enrhumé)<ul><li>le passé est utilisé pour exprimer le fait qu'une personne est enrhumé (litt. “être enrhumé” = “avoir attrapé un rhume”)</li></ul>

[sound:기침.mp3]	기침	toux
[sound:기침이_나다.mp3]	기침이 나다<hr/>기침을 하다	tousser

[sound:땀.mp3]	땀	sueur, transpiration<p class="small">(몸: corps)</p>
[sound:땀이_나다.mp3]	땀이 나다	transpirer

[sound:피.mp3]	피	sang<p class="small">(몸: corps)</p>
[sound:피가_나다.mp3]	피가 나다	saigner

[sound:열.mp3]	열	chaleur<hr/>fièvre
[sound:열이_나다.mp3]	열이 나다	avoir de la fièvre
[sound:열을_재다.mp3]	열을 재다	prendre la température<p class="small">(litt. “mesurer la température”)</p>

[sound:눈물.mp3]	눈물	larme<p class="small">(몸: corps ; 눈: œil, 물: eau)</p>
[sound:콧물.mp3]	콧물 <span class="small">[콘물]</span>	nez qui coule, morve<p class="small">(몸: corps ; 코: nez, 물: eau)</p>
[sound:콧물이_나다.mp3]	콧물이 나(오)다	avoir le nez qui coule

[sound:병원.mp3]	병원	hôpital
[sound:약.mp3]	약 <span class="small light">/ 처방전</span>	médicament <span class="small light">/ ordonnance</span>
[sound:뿌리는_약.mp3]	뿌리는 약	médicament à vaporiser<p class="small">(뿌리다: vaporiser, 약: médicament)</p>
[sound:약사.mp3]	약사	pharmacien<p class="small">(약: médicament)</p>
[sound:처방전.mp3]	처방전 <span class="small light">/ 진료</span>	ordonnance <span class="small light">/ consultation</span>
[sound:환자.mp3]	환자 <span class="small light">/ 진료</span>	patient <span class="small light">/ consultation (médicale)</span>
[sound:청진기.mp3]	청진기	stéthoscope
[sound:항생제.mp3]	항생제	antibiotique<p class="small">(약: médicament)</p>
[sound:아스피린.mp3]	아스피린	aspirine<p class="small">(약: médicament)</p>
[sound:비타민.mp3]	비타민	vitamine<p class="small">(약: médicament)</p>

[sound:숙제.mp3]	숙제 <span class="small light">/ 연습</span>	devoirs (scolaires) <span class="small light">/ exercice</span>
[sound:종류.mp3]	종류 <span class="small">[종ː뉴]</span>	sorte, type
[sound:푹.mp3]	푹	bien, profondément
[sound:푹_쉬다.mp3]	푹 쉬다<div class="활용"><div class="bloc"><div class="부정사">쉬다</div></div><div class="bloc"><div class="현재"><div class="하십시오체"><div class="높임">쉬십니다</div>쉽니다</div><div class="해요체"><div class="높임">쉬세요</div>쉬어요</div></div><div class="과거"><div class="하십시오체"><div class="높임">쉬셨습니다</div>쉬었습니다</div><div class="해요체"><div class="높임">쉬셨어요</div>쉬었어요</div></div><div class="미래"><div class="하십시오체"><div class="높임">쉬실 겁니다</div>쉴 겁니다</div><div class="해요체"><div class="높임">쉬실 거예요</div>쉴 거예요</div></div></div></div>	bien se reposer

[sound:이번.mp3]	이번	cette fois
[sound:이번_주.mp3]	이번 주<p class="small">(지난 주 &lt; <span class="em">이번 주</span> &lt; 다음 주)</p>	cette semaine
[sound:이번_달.mp3]	이번 달<p class="small">(지난 달 &lt; <span class="em">이번 달</span> &lt; 다음 달)</p>	ce mois

[sound:하루.mp3]	하루 / 일 일<p class="small">(하루 전 / 하루 후)</p><p class="small">(<span class="em">하루</span> &lt; 이틀 &lt; 사흘 &lt; 나흘 &lt; 닷새 &lt; 엿새 &lt; 이레 &lt; 여드레 &lt; 아흐레 &lt; 열흘 &lt; 보름)</p>	un jour<p class="small">(il y a un jour / un jour plus tard)</p>
[sound:이틀.mp3]	이틀 / 이 일<p class="small">(이틀 전 / 이틀 후)</p><p class="small">(하루 &lt; <span class="em">이틀</span> &lt; 사흘 &lt; 나흘 &lt; 닷새 &lt; 엿새 &lt; 이레 &lt; 여드레 &lt; 아흐레 &lt; 열흘 &lt; 보름)</p>	deux jours<p class="small">(il y a deux jours / deux jours plus tard)</p>
[sound:사흘.mp3]	사흘 / 삼 일<p class="small">(사흘 전 / 사흘 후)</p><p class="small">(하루 &lt; 이틀 &lt; <span class="em">사흘</span> &lt; 나흘 &lt; 닷새 &lt; 엿새 &lt; 이레 &lt; 여드레 &lt; 아흐레 &lt; 열흘 &lt; 보름)</p>	trois jours<p class="small">(il y a trois jours / trois jours plus tard)</p>
[sound:나흘.mp3]	나흘 / 사 일<p class="small">(나흘 전 / 나흘 후)</p><p class="small">(하루 &lt; 이틀 &lt; 사흘 &lt; <span class="em">나흘</span> &lt; 닷새 &lt; 엿새 &lt; 이레 &lt; 여드레 &lt; 아흐레 &lt; 열흘 &lt; 보름)</p>	quatre jours<p class="small">(il y a quatre jours / quatre jours plus tard)</p>
[sound:닷새.mp3]	닷새 <span class="small">[닫쌔]</span> / 오 일<p class="small">(닷새 전 / 닷새 후)</p><p class="small">(하루 &lt; 이틀 &lt; 사흘 &lt; 나흘 &lt; <span class="em">닷새</span> &lt; 엿새 &lt; 이레 &lt; 여드레 &lt; 아흐레 &lt; 열흘 &lt; 보름)</p>	cinq jours<p class="small">(il y a cinq jours / cinq jours plus tard)</p>
[sound:엿새.mp3]	엿새 <span class="small">[엳쌔]</span> / 육 일<p class="small">(엿새 전 / 엿새 후)</p><p class="small">(하루 &lt; 이틀 &lt; 사흘 &lt; 나흘 &lt; 닷새 &lt; <span class="em">엿새</span> &lt; 이레 &lt; 여드레 &lt; 아흐레 &lt; 열흘 &lt; 보름)</p>	six jours<p class="small">(il y a six jours / six jours plus tard)</p>
[sound:이레.mp3]	이레 / 칠 일<p class="small">(이레 전 / 이레 후)</p><p class="small">(하루 &lt; 이틀 &lt; 사흘 &lt; 나흘 &lt; 닷새 &lt; 엿새 &lt; <span class="em">이레</span> &lt; 여드레 &lt; 아흐레 &lt; 열흘 &lt; 보름)</p>	sept jours<p class="small">(il y a sept jours / sept jours plus tard)</p>
[sound:여드레.mp3]	여드레 / 팔 일<p class="small">(여드레 전 / 여드레 후)</p><p class="small">(하루 &lt; 이틀 &lt; 사흘 &lt; 나흘 &lt; 닷새 &lt; 엿새 &lt; 이레 &lt; <span class="em">여드레</span> &lt; 아흐레 &lt; 열흘 &lt; 보름)</p>	huit jours<p class="small">(il y a huit jours / huit jours plus tard)</p>
[sound:아흐레.mp3]	아흐레 / 구 일<p class="small">(아흐레 전 / 아흐레 후)</p><p class="small">(하루 &lt; 이틀 &lt; 사흘 &lt; 나흘 &lt; 닷새 &lt; 엿새 &lt; 이레 &lt; 여드레 &lt; <span class="em">아흐레</span> &lt; 열흘 &lt; 보름)</p>	neuf jours<p class="small">(il y a neuf jours / neuf jours plus tard)</p>
[sound:열흘.mp3]	열흘 / 십 일<p class="small">(열흘 전 / 열흘 후)</p><p class="small">(하루 &lt; 이틀 &lt; 사흘 &lt; 나흘 &lt; 닷새 &lt; 엿새 &lt; 이레 &lt; 여드레 &lt; 아흐레 &lt; <span class="em">열흘</span> &lt; 보름)</p>	dix jours<p class="small">(il y a dix jours / dix jours plus tard)</p>
[sound:보름.mp3]	보름 / 십오 일<p class="small">(보름 전 / 보름 후)</p><p class="small">(하루 &lt; 이틀 &lt; 사흘 &lt; 나흘 &lt; 닷새 &lt; 엿새 &lt; 이레 &lt; 여드레 &lt; 아흐레 &lt; 열흘 &lt; <span class="em">보름</span>)</p>	quinze jours<p class="small">(il y a quinze jours / quinze jours plus tard)</p>

[sound:못.mp3]	못 <span class="small">[몯]</span>	adverbe de négation indiquant l'impossibilité&nbsp;: ne pas pouvoir<ul><li>utilisé avec des verbes combinés avec <span class="em">하다</span>, il se place juste devant le verbe 하다 et on attache la particule du complément d'objet direct 을/를 après le nom<ul><li>운동하다 &rarr; 운동을 못 하다</li><li>전화하다 &rarr; 전화를 못 하다</li></ul></li><li>la forme <span class="em">-(으)ㄹ 수 없다</span> qui s'emploie également pour indiquer l'impossibilité de faire quelque chose est privilégiée à l'écrit</li></ul>


[sound:걸리다.mp3]	걸리다	prendre<p class="small">(le temps nécessaire)</p><hr/>attraper (un rhume)<p class="small">(litt. “prendre froid”)</p>

[sound:야_되다.mp3]	<span class="small">-아<span class="em">야</span>/-어<span class="em">야</span>/-해<span class="em">야</span></span> 되다	devoir faire qq chose<ul><li>s'emploie pour exprimer le devoir, l'<span class="em">obligation ou la nécessité</span></li></ul>

[sound:으러_가다_오다.mp3]	V-(으)러 가다/오다	aller/venir pour faire qq chose<ul><li>s'emploie avec un verbe d'action pour exprimer la réalisation d'un mouvement dans l'intention d'exécuter cette action, l'<span class="em">objectif</span></li><li>-(으)러 exprime le but et s'accompagne d'un verbe de déplacement (le plus souvent 가다 ou 오다)</li><li>attention à ne pas confondre -(으)러 pour le but et -(으)로 pour la direction ou le moyen</li></ul>

[sound:아프다_편찮으시다.mp3]	아프다<p class="small">(&ne;&nbsp;괜찮다)</p><hr/>편찮으시다<p class="small">(honorifique)</p>	être malade, être blessé, avoir mal<p class="small">(&ne;&nbsp;aller bien)</p>
[sound:아파요.mp3]	아<span class="불규칙">파</span>요<hr/>편찮으세요<p class="small">(honorifique)</p><div class="활용"><div class="bloc"><div class="부정사"><div class="높임">편찮으시다</div>아프다</div><div class="불규칙">(“ㅡ” 불규칙)</div></div><div class="bloc"><div class="현재"><div class="하십시오체"><div class="높임">편찮으십니다</div>아픕니다</div><div class="해요체"><div class="높임">편찮으세요</div>아파요</div></div><div class="과거"><div class="하십시오체"><div class="높임">편찮으셨습니다</div>아팠습니다</div><div class="해요체"><div class="높임">편찮으셨어요</div>아팠어요</div></div><div class="미래"><div class="하십시오체"><div class="높임">편찮으실 겁니다</div>아플 겁니다</div><div class="해요체"><div class="높임">편찮으실 거예요</div>아플 거예요</div></div></div><div class="bloc"><div class="연결"><div class="높임">편찮으시고</div>아프고</div><div class="연결"><div class="높임">편찮으시지만</div>아프지만</div><div class="연결"><div class="높임">편찮으신데</div>아픈데</div><div class="연결"><div class="높임">편찮으시면</div>아프면</div><div class="연결"><div class="높임">편찮으셔서</div>아파서</div></div></div>	il est malade, il est blessé, il a mal<p class="small">(해요체, registre informel poli)</p>
