tags: darakwon 16-과

[sound:색.mp3]	색<ul><span style="color:black">&#9633;</span>&nbsp;하얀색 / 흰색<br><span style="color:yellow">&#9632;</span>&nbsp;노란색<br><span style="color:green">&#9632;</span>&nbsp;녹색<br><span style="color:blue">&#9632;</span>&nbsp;파란색<br><span style="color:red">&#9632;</span>&nbsp;빨간색<br><span style="color:pink">&#9632;</span>&nbsp;분홍색<br><span style="color:orange">&#9632;</span>&nbsp;주황색<br><span style="color:purple">&#9632;</span>&nbsp;보라색<br><span style="color:brown">&#9632;</span>&nbsp;갈색<br><span style="color:grey">&#9632;</span>&nbsp;회색<br><span style="color:black">&#9632;</span>&nbsp;까만색 / 검은색</ul>	couleur
[sound:하얀색_흰색.mp3]	하얀색 <span class="small light">/ 하양</span><hr/>흰색 <span class="발음">[힌색]</span>	<span style="color:black">&#9633;</span> blanc<p class="small">(색: couleur)</p><ul><li>하얀 / 흰&nbsp;: formes adjectivales respectives de 하얗다 / 희다 (être blanc)</li></ul>
[sound:노란색.mp3]	노란색 <span class="small light">/ 노랑</span>	<span style="color:yellow">&#9632;</span> jaune<p class="small">(색: couleur)</p><ul><li>노란&nbsp;: forme adjectivale de 노랗다 (être jaune)</li></ul>
[sound:녹색.mp3]	녹색 <span class="발음">[녹쌕]</span> <span class="small light">/ 녹차</span>	<span style="color:green">&#9632;</span> vert <span class="small light">/ thé vert</span><p class="small">(색: couleur)</p>
[sound:파란색.mp3]	파란색 <span class="small light">/ 파랑</span>	<span style="color:blue">&#9632;</span> bleu<p class="small">(색: couleur)</p><ul><li>파란&nbsp;: forme adjectivale de 파랗다 (être bleu)</li></ul>
[sound:빨간색.mp3]	빨간색 <span class="small light">/ 빨강</span>	<span style="color:red">&#9632;</span> rouge<p class="small">(색: couleur)</p><ul><li>빨간&nbsp;: forme adjectivale de 빨갛다 (être rouge)</li></ul>
[sound:분홍색.mp3]	분홍색	<span style="color:pink">&#9632;</span> rose<p class="small">(색: couleur)</p>
[sound:주황색.mp3]	주황색	<span style="color:orange">&#9632;</span> orange<p class="small">(색: couleur)</p>
[sound:보라색.mp3]	보라색	<span style="color:purple">&#9632;</span> violet<p class="small">(색: couleur)</p>
[sound:갈색.mp3]	갈색 <span class="발음">[갈쌕]</span>	<span style="color:brown">&#9632;</span> marron<p class="small">(색: couleur)</p>
[sound:회색.mp3]	회색 <span class="발음">[훼색]</span>	<span style="color:grey">&#9632;</span> gris<p class="small">(색: couleur)</p>
[sound:까만색_검은색.mp3]	까만색 <span class="small light">/ 까망</span><hr/>검은색 <span class="발음">[거믄색]</span> <span class="small light">/ 검정</span>	<span style="color:black">&#9632;</span> noir<p class="small">(색: couleur)</p><ul><li>까만 / 검은&nbsp;: formes adjectivales respectives de 까맣다 / 검다 (être noir)</li></ul>

[sound:까맣다_검다.mp3]	<div class="활용"><div class="bloc"><div class="부정사" style="font-size: 150%">까맣다 <span class="발음">[까마<span style="font-weight: bold">타</span>]</span></div><div class="불규칙">(“ㅎ” 불규칙 형용사)</div></div></div><hr/><div class="활용"><div class="bloc"><div class="부정사" style="font-size: 150%">검다 <span class="발음">[검<span style="font-weight: bold">따</span>]</span></div><div class="불규칙">(형용사)</div></div></div>	être noir<ul><li>la forme 까맣다 est beaucoup plus usitée</li><li>adjectif irrégulier en “ㅎ”&nbsp;: ㅎ disparaît devant voyelle et les voyelles 아 / 어 / 여 deviennent 애</li></ul>
