tags: darakwon 17-과

[sound:면접.mp3]	면접(시험)<p class="small light">/ 면접관 / 면접장</p>	entretien (d'embauche)<p class="small light">/ recruteur / salle d'entretien</p><ul><li>표현 (expression)<br><br>&mdash;&nbsp;면접(시험)을 보다<br>&mdash;&nbsp;<span style="font-style: italic">passer un entretien d'embauche</span></li></ul>
[sound:면접관.mp3]	면접관 <span class="발음">[면접꽌]</span><p class="small light">/ 면접 / 면접장</p>	recruteur<p class="small light">/ entretien (d'embauche) / salle d'entretien</p><ul><li>personne qui fait passer un entretien d'embauche (면접)</li></ul>
[sound:면접시험을_보다.mp3]	<div class="활용"><div class="bloc"><div class="부정사" style="font-size: 150%">면접(시험)을 보다</div><div class="불규칙">(동사)</div></div></div>	passer un entretien d'embauche<ul><li>verbe régulier</li></ul>

[sound:다행히.mp3]	다행히	heureusement
[sound:벌써.mp3]	벌써 <span class="small light">&ne;&nbsp;아직</span>	déjà <span class="small light">&ne;&nbsp;pas encore</span>
[sound:요금.mp3]	요금	tarif, frais<ul><li>표현 (expression)<br><br>&mdash;&nbsp;요금이 얼마예요? &mdash;&nbsp;12,000원입니다.<br>&mdash;&nbsp;<span style="font-style: italic">Combien vous dois-je&nbsp;?</span> &mdash;&nbsp;<span style="font-style: italic">12 000 wons.</span></li></ul>

[sound:잠깐만_잠시만.mp3]	잠깐(만) / 잠시(만)	(seulement) un moment, un instant<ul><li>표현 (expression)<br><br>&mdash;&nbsp;잠시 후<br>&mdash;&nbsp;<span style="font-style: italic">peu après, un instant plus tard, prochainement (angl. “shortly”)</span></li></ul>

[sound:기사.mp3]	기사	chauffeur
[sound:직원.mp3]	직원 <span class="발음">[지권]</span><p class="small light">/ 회사원</p>	employé<p class="small light">/ employé de bureau</p>
[sound:회사원.mp3]	회사원 <span class="small light">/ 회사 / 직원</span>	employé de bureau<p class="small light">/ entreprise, compagnie, société / employé</p>

[sound:일찍.mp3]	일찍<p class="small">(&ne;&nbsp;늦게)</p>	tôt<p class="small">(&ne;&nbsp;tard)</p>
[sound:늦게.mp3]	늦게 <span class="발음">[늗게]</span><p class="small">(&ne;&nbsp;일찍)</p>	tard<p class="small">(&ne;&nbsp;tôt)</p><ul><li>forme adverbiale de <span class="em">늦다</span> (être en retard)</li><br><li>le suffixe adverbial <span class="em">-게</span> attaché à un adjectif transforme cet adjectif en adverbe&nbsp;; ex.&nbsp;: 맛있다 &rarr; 맛있게 (맛있게 드세요, bon appétit)</li></ul>

[sound:늦다.mp3]	<div class="활용"><div class="bloc"><div class="부정사" style="font-size: 150%">늦다 <span class="발음">[늗<span style="font-weight: bold">따</span>]</span></div><div class="불규칙">(형용사)</div></div></div><p class="small">(&ne;&nbsp;이르다)</p>	être en retard<p class="small">(&ne;&nbsp;être en avance)</p><ul><li>adjectif régulier</li></ul>
[sound:늦습니다.mp3]	늦습니다 <span class="발음">[<span style="font-weight: bold">늗슴</span>니다]</span><hr/>늦으십니다<p class="fr small">(honorifique)</p><div class="활용"><div class="bloc"><div class="부정사">늦다</div><div class="불규칙">(형용사)</div></div><div class="bloc"><div class="현재"><div class="하십시오체"><div class="높임">늦으십니다</div>늦습니다</div><div class="해요체"><div class="높임">늦으세요</div>늦어요</div></div><div class="과거"><div class="하십시오체"><div class="높임">늦으셨습니다</div>늦었습니다</div><div class="해요체"><div class="높임">늦으셨어요</div>늦었어요</div></div><div class="미래"><div class="하십시오체"><div class="높임">늦으실 겁니다</div>늦을 겁니다</div><div class="해요체"><div class="높임">늦으실 거예요</div>늦을 거예요</div></div></div><div class="bloc"><div class="고"><div class="높임">늦으시고</div>늦고</div><div class="지만"><div class="높임">늦으시지만</div>늦지만</div><div class="는데"><div class="높임">늦으신데</div>늦은데</div><div class="면"><div class="높임">늦으시면</div>늦으면</div><div class="서"><div class="높임">늦으셔서</div>늦어서</div></div></div>	il est en retard<p class="small">(하십시오체, registre formel poli)</p>
